epoch_s,total_backends,active,idle,idle_in_txn,max_connections
1785430796,26,1,25,0,300
1785430797,26,1,25,0,300
1785430798,26,2,24,0,300
1785430799,26,2,24,0,300
1785430800,26,3,23,0,300
1785430802,26,0,26,0,300
1785430803,26,2,24,0,300
1785430804,26,3,23,0,300
1785430805,26,1,25,0,300
1785430806,26,3,23,0,300
1785430807,26,1,25,0,300
1785430808,26,3,23,0,300
1785430809,26,0,26,0,300
1785430810,26,1,25,0,300
1785430811,26,2,24,0,300
1785430812,26,0,26,0,300
1785430813,26,2,24,0,300
1785430815,26,0,26,0,300
1785430816,26,2,24,0,300
1785430817,26,1,25,0,300
1785430818,26,0,26,0,300
1785430819,26,0,26,0,300
1785430820,26,7,19,0,300
1785430821,26,1,25,0,300
1785430822,26,1,25,0,300
1785430823,26,1,25,0,300
1785430824,26,2,24,0,300
1785430825,26,0,26,0,300
1785430826,26,2,24,0,300
1785430828,26,1,25,0,300
1785430829,26,3,23,0,300
1785430830,26,4,22,0,300
1785430831,26,2,24,0,300
1785430832,26,1,25,0,300
1785430833,26,1,25,0,300
1785430834,26,0,26,0,300
1785430835,26,2,24,0,300
1785430836,26,5,21,0,300
1785430837,26,2,24,0,300
1785430838,26,3,23,0,300
1785430839,26,2,23,1,300
1785430841,26,1,25,0,300
1785430842,26,4,22,0,300
1785430843,26,0,26,0,300
1785430844,26,3,23,0,300
1785430845,26,1,25,0,300
1785430846,26,3,23,0,300
1785430847,26,0,26,0,300
1785430848,26,1,25,0,300
1785430849,26,2,24,0,300
1785430850,26,5,21,0,300
1785430851,26,6,20,0,300
1785430852,26,2,24,0,300
1785430854,26,0,26,0,300
1785430855,26,0,25,1,300
1785430856,26,1,25,0,300
1785430857,26,1,25,0,300
1785430858,26,1,25,0,300
1785430859,26,1,25,0,300
1785430860,26,2,24,0,300
1785430861,26,0,26,0,300
1785430862,26,2,24,0,300
1785430863,26,2,24,0,300
1785430864,26,2,24,0,300
1785430865,26,0,26,0,300
1785430867,26,3,23,0,300
1785430868,26,1,25,0,300
1785430869,26,3,23,0,300
1785430870,26,3,23,0,300
1785430871,26,2,24,0,300
1785430872,26,0,26,0,300
1785430873,26,2,24,0,300
1785430874,26,0,26,0,300
1785430875,26,3,23,0,300
1785430876,26,1,25,0,300
1785430877,26,0,26,0,300
1785430878,26,2,24,0,300
1785430880,26,3,23,0,300
1785430881,26,3,23,0,300
1785430882,26,3,23,0,300
1785430883,26,3,23,0,300
1785430884,26,3,22,1,300
1785430885,26,3,23,0,300
1785430886,26,0,26,0,300
