layer,campaign,contract,pair,group,arm,n,mean_cpu_per_req_ms,spread_pct
arm_order,20260806T183034Z-spring-ladder-n3,heavy,2-pure-vs-purenative,repeat03,target-a,2,0.951920,0.4133
arm_order,20260806T183034Z-spring-ladder-n3,heavy,2-pure-vs-purenative,repeat03,target-b,2,0.230936,0.0420
arm_order,20260806T183034Z-spring-ladder-n3,heavy,3-purenative-vs-native,repeat01,target-a,2,0.231508,0.2030
arm_order,20260806T183034Z-spring-ladder-n3,heavy,3-purenative-vs-native,repeat01,target-b,2,0.213566,1.2694
arm_order,20260806T183034Z-spring-ladder-n3,heavy,3-purenative-vs-native,repeat02,target-a,2,0.231993,2.8333
arm_order,20260806T183034Z-spring-ladder-n3,heavy,3-purenative-vs-native,repeat02,target-b,2,0.211138,0.2671
arm_order,20260806T183034Z-spring-ladder-n3,heavy,3-purenative-vs-native,repeat03,target-a,2,0.228587,2.9271
arm_order,20260806T183034Z-spring-ladder-n3,heavy,3-purenative-vs-native,repeat03,target-b,2,0.211194,0.2737
arm_order,20260806T183034Z-spring-ladder-n3,heavy,4-tomcat-vs-native,repeat01,target-a,2,1.046459,0.2082
arm_order,20260806T183034Z-spring-ladder-n3,heavy,4-tomcat-vs-native,repeat01,target-b,2,0.211079,0.1919
arm_order,20260806T183034Z-spring-ladder-n3,heavy,4-tomcat-vs-native,repeat02,target-a,2,1.113764,0.3450
arm_order,20260806T183034Z-spring-ladder-n3,heavy,4-tomcat-vs-native,repeat02,target-b,2,0.209555,0.1622
arm_order,20260806T183034Z-spring-ladder-n3,heavy,4-tomcat-vs-native,repeat03,target-a,2,1.068150,0.1395
arm_order,20260806T183034Z-spring-ladder-n3,heavy,4-tomcat-vs-native,repeat03,target-b,2,0.210928,0.3963
arm_order,20260806T183034Z-spring-ladder-n3,light,1-tomcat-vs-pure,repeat01,target-a,2,0.147115,1.1365
arm_order,20260806T183034Z-spring-ladder-n3,light,1-tomcat-vs-pure,repeat01,target-b,2,0.091109,0.4116
arm_order,20260806T183034Z-spring-ladder-n3,light,1-tomcat-vs-pure,repeat02,target-a,2,0.145201,1.1143
arm_order,20260806T183034Z-spring-ladder-n3,light,1-tomcat-vs-pure,repeat02,target-b,2,0.090092,0.0688
arm_order,20260806T183034Z-spring-ladder-n3,light,1-tomcat-vs-pure,repeat03,target-a,2,0.145384,1.8358
arm_order,20260806T183034Z-spring-ladder-n3,light,1-tomcat-vs-pure,repeat03,target-b,2,0.088341,0.8546
arm_order,20260806T183034Z-spring-ladder-n3,light,2-pure-vs-purenative,repeat01,target-a,2,0.092266,0.9819
arm_order,20260806T183034Z-spring-ladder-n3,light,2-pure-vs-purenative,repeat01,target-b,2,0.068362,1.4204
arm_order,20260806T183034Z-spring-ladder-n3,light,2-pure-vs-purenative,repeat02,target-a,2,0.090732,0.1907
arm_order,20260806T183034Z-spring-ladder-n3,light,2-pure-vs-purenative,repeat02,target-b,2,0.070722,0.0990
arm_order,20260806T183034Z-spring-ladder-n3,light,2-pure-vs-purenative,repeat03,target-a,2,0.094838,0.5103
arm_order,20260806T183034Z-spring-ladder-n3,light,2-pure-vs-purenative,repeat03,target-b,2,0.069803,0.0258
arm_order,20260806T183034Z-spring-ladder-n3,light,3-purenative-vs-native,repeat01,target-a,2,0.070434,0.1477
arm_order,20260806T183034Z-spring-ladder-n3,light,3-purenative-vs-native,repeat01,target-b,2,0.050114,0.3911
arm_order,20260806T183034Z-spring-ladder-n3,light,3-purenative-vs-native,repeat02,target-a,2,0.070756,0.3067
arm_order,20260806T183034Z-spring-ladder-n3,light,3-purenative-vs-native,repeat02,target-b,2,0.051488,0.1554
arm_order,20260806T183034Z-spring-ladder-n3,light,3-purenative-vs-native,repeat03,target-a,2,0.070004,0.9428
arm_order,20260806T183034Z-spring-ladder-n3,light,3-purenative-vs-native,repeat03,target-b,2,0.051433,0.1828
arm_order,20260806T183034Z-spring-ladder-n3,light,4-tomcat-vs-native,repeat01,target-a,2,0.144936,1.8539
arm_order,20260806T183034Z-spring-ladder-n3,light,4-tomcat-vs-native,repeat01,target-b,2,0.051302,0.1949
arm_order,20260806T183034Z-spring-ladder-n3,light,4-tomcat-vs-native,repeat02,target-a,2,0.146816,0.1866
arm_order,20260806T183034Z-spring-ladder-n3,light,4-tomcat-vs-native,repeat02,target-b,2,0.049829,0.1184
arm_order,20260806T183034Z-spring-ladder-n3,light,4-tomcat-vs-native,repeat03,target-a,2,0.146787,0.3944
arm_order,20260806T183034Z-spring-ladder-n3,light,4-tomcat-vs-native,repeat03,target-b,2,0.050841,0.2144
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,heavy,1-purenative-vs-quarkustuned,repeat01,target-a,2,0.242579,0.1039
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,heavy,1-purenative-vs-quarkustuned,repeat01,target-b,2,0.239709,0.3116
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,heavy,1-purenative-vs-quarkustuned,repeat02,target-a,2,0.241451,0.1437
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,heavy,1-purenative-vs-quarkustuned,repeat02,target-b,2,0.240137,0.1020
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,heavy,1-purenative-vs-quarkustuned,repeat03,target-a,2,0.238712,0.2983
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,heavy,1-purenative-vs-quarkustuned,repeat03,target-b,2,0.238357,0.2945
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,light,1-purenative-vs-quarkustuned,repeat01,target-a,2,0.071830,0.6265
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,light,1-purenative-vs-quarkustuned,repeat01,target-b,2,0.070874,1.8512
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,light,1-purenative-vs-quarkustuned,repeat02,target-a,2,0.071168,0.2347
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,light,1-purenative-vs-quarkustuned,repeat02,target-b,2,0.069275,0.7145
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,light,1-purenative-vs-quarkustuned,repeat03,target-a,2,0.072110,0.1761
arm_order,20260808T065528Z-purenative-vs-quarkustuned-n3,light,1-purenative-vs-quarkustuned,repeat03,target-b,2,0.067371,1.3285
arm_order,20260808T151608Z-purenative-vs-compnative-n3,heavy,1-purenative-vs-compnative,repeat01,target-a,2,0.240399,0.0824
arm_order,20260808T151608Z-purenative-vs-compnative-n3,heavy,1-purenative-vs-compnative,repeat01,target-b,2,0.244993,0.3343
arm_order,20260808T151608Z-purenative-vs-compnative-n3,heavy,1-purenative-vs-compnative,repeat02,target-a,2,0.240902,0.2781
arm_order,20260808T151608Z-purenative-vs-compnative-n3,heavy,1-purenative-vs-compnative,repeat02,target-b,2,0.247046,0.2267
arm_order,20260808T151608Z-purenative-vs-compnative-n3,heavy,1-purenative-vs-compnative,repeat03,target-a,2,0.241241,0.8133
arm_order,20260808T151608Z-purenative-vs-compnative-n3,heavy,1-purenative-vs-compnative,repeat03,target-b,2,0.247935,0.0387
arm_order,20260808T151608Z-purenative-vs-compnative-n3,light,1-purenative-vs-compnative,repeat01,target-a,2,0.071424,1.1579
arm_order,20260808T151608Z-purenative-vs-compnative-n3,light,1-purenative-vs-compnative,repeat01,target-b,2,0.075793,0.1821
arm_order,20260808T151608Z-purenative-vs-compnative-n3,light,1-purenative-vs-compnative,repeat02,target-a,2,0.071878,0.0988
arm_order,20260808T151608Z-purenative-vs-compnative-n3,light,1-purenative-vs-compnative,repeat02,target-b,2,0.077072,0.3685
arm_order,20260808T151608Z-purenative-vs-compnative-n3,light,1-purenative-vs-compnative,repeat03,target-a,2,0.071298,0.3408
arm_order,20260808T151608Z-purenative-vs-compnative-n3,light,1-purenative-vs-compnative,repeat03,target-b,2,0.076611,0.1083
arm_order,20260810T131208Z-hibernate-vs-jdbc-n3,heavy,1-hibernate-vs-jdbc,repeat01,target-a,2,1.062358,0.2152
