Time,UID,TGID,TID,%usr,%system,%guest,%wait,%CPU,CPU,cswch/s,nvcswch/s,Command
20:12:20,1000,1400928,-,264.00,116.00,0.00,0.00,380.00,2,0.00,0.00,"java"
20:12:20,1000,-,1400928,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__java"
20:12:20,1000,-,1400931,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__java"
20:12:20,1000,-,1400933,0.00,0.00,0.00,1.00,0.00,3,21.00,4.00,"|__GC Thread#0"
20:12:20,1000,-,1400934,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__G1 Main Marker"
20:12:20,1000,-,1400935,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__G1 Conc#0"
20:12:20,1000,-,1400936,0.00,0.00,0.00,0.00,0.00,2,21.00,0.00,"|__G1 Refi..ontrol"
20:12:20,1000,-,1400937,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__G1 Refi..kers#0"
20:12:20,1000,-,1400938,0.00,0.00,0.00,1.00,0.00,2,30.00,1.00,"|__G1 Service"
20:12:20,1000,-,1400941,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__VM Peri..Thread"
20:12:20,1000,-,1400944,0.00,0.00,0.00,1.00,0.00,2,33.00,28.00,"|__VM Thread"
20:12:20,1000,-,1400945,0.00,0.00,0.00,0.00,0.00,4,2.00,0.00,"|__Referen..andler"
20:12:20,1000,-,1400946,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__Finalizer"
20:12:20,1000,-,1400947,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Signal ..atcher"
20:12:20,1000,-,1400948,0.00,0.00,0.00,0.00,0.00,3,2.00,0.00,"|__Service Thread"
20:12:20,1000,-,1400949,0.00,0.00,0.00,0.00,0.00,1,4.00,0.00,"|__Monitor..Thread"
20:12:20,1000,-,1400950,42.00,0.00,0.00,29.00,42.00,0,54.00,479.00,"|__C2 Comp..hread0"
20:12:20,1000,-,1400951,3.00,0.00,0.00,6.00,3.00,3,95.00,21.00,"|__C1 Comp..hread0"
20:12:20,1000,-,1400952,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__Notific..Thread"
20:12:20,1000,-,1400953,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Common-Cleaner"
20:12:20,1000,-,1400955,1.00,0.00,0.00,0.00,1.00,4,20.00,4.00,"|__GC Thread#1"
20:12:20,1000,-,1400956,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__Cleaner-0"
20:12:20,1000,-,1400963,0.00,0.00,0.00,0.00,0.00,0,20.00,0.00,"|__GC Thread#2"
20:12:20,1000,-,1400978,1.00,0.00,0.00,0.00,1.00,1,16.00,1.00,"|__GC Thread#3"
20:12:20,1000,-,1400980,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__Postgre..leaner"
20:12:20,1000,-,1400981,0.00,0.00,0.00,0.00,0.00,0,4.00,0.00,"|__exeris-..keeper"
20:12:20,1000,-,1400984,0.00,0.00,0.00,1.00,0.00,0,13.00,0.00,"|__Virtual..locker"
20:12:20,1000,-,1400985,33.00,24.00,0.00,32.00,57.00,3,721.00,3535.00,"|__ForkJoi..rker-1"
20:12:20,1000,-,1400986,27.00,21.00,0.00,40.00,48.00,4,706.00,3408.00,"|__ForkJoi..rker-2"
20:12:20,1000,-,1400987,28.00,20.00,0.00,41.00,48.00,0,691.00,2291.00,"|__ForkJoi..rker-3"
20:12:20,1000,-,1400988,2.00,3.00,0.00,19.00,5.00,4,9236.00,5.00,"|__exeris/..mitter"
20:12:20,1000,-,1400989,7.00,2.00,0.00,14.00,9.00,1,1671.00,108.00,"|__carrier..ctor/0"
20:12:20,1000,-,1400990,7.00,3.00,0.00,14.00,10.00,2,1638.00,60.00,"|__carrier..ctor/1"
20:12:20,1000,-,1400991,8.00,1.00,0.00,12.00,9.00,1,1701.00,99.00,"|__carrier..ctor/2"
20:12:20,1000,-,1400992,7.00,2.00,0.00,21.00,9.00,1,1503.00,47.00,"|__carrier..ctor/3"
20:12:20,1000,-,1400993,5.00,0.00,0.00,6.00,5.00,3,7.00,71.00,"|__carrier..ceptor"
20:12:20,1000,-,1401014,0.00,0.00,0.00,0.00,0.00,3,22.00,2.00,"|__GC Thread#4"
20:12:20,1000,-,1401034,1.00,2.00,0.00,14.00,3.00,3,3446.00,38.00,"|__MasterPoller"
20:12:20,1000,-,1401035,34.00,24.00,0.00,32.00,58.00,4,670.00,3891.00,"|__ForkJoi..rker-4"
20:12:20,1000,-,1401036,35.00,20.00,0.00,37.00,55.00,1,739.00,3003.00,"|__ForkJoi..rker-5"
20:12:20,1000,-,1401037,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,"|__ForkJoi..eduler"
20:12:20,1000,-,1401071,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__Attach Listener"
20:12:20,1000,-,1401072,0.00,0.00,0.00,1.00,0.00,3,4.00,1.00,"|__JFR Rec..Thread"
20:12:20,1000,-,1401074,2.00,0.00,0.00,2.00,2.00,3,7.00,26.00,"|__JFR Per.. Tasks"
20:12:20,1000,-,1401101,1.00,0.00,0.00,5.00,1.00,4,398.00,4.00,"|__JFR Sam..Thread"
20:12:20,1000,-,1410958,4.00,0.00,0.00,2.00,4.00,2,3.00,36.00,"|__C2 Comp..hread1"
20:12:21,1000,1400928,-,237.00,140.00,0.00,0.00,377.00,2,0.00,0.00,"java"
20:12:21,1000,-,1400928,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__java"
20:12:21,1000,-,1400931,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__java"
20:12:21,1000,-,1400933,1.00,0.00,0.00,0.00,1.00,1,25.00,1.00,"|__GC Thread#0"
20:12:21,1000,-,1400934,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__G1 Main Marker"
20:12:21,1000,-,1400935,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__G1 Conc#0"
20:12:21,1000,-,1400936,0.00,0.00,0.00,0.00,0.00,1,22.00,0.00,"|__G1 Refi..ontrol"
20:12:21,1000,-,1400937,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__G1 Refi..kers#0"
20:12:21,1000,-,1400938,0.00,0.00,0.00,0.00,0.00,1,24.00,1.00,"|__G1 Service"
20:12:21,1000,-,1400941,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__VM Peri..Thread"
20:12:21,1000,-,1400944,0.00,1.00,0.00,1.00,1.00,1,27.00,14.00,"|__VM Thread"
20:12:21,1000,-,1400945,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Referen..andler"
20:12:21,1000,-,1400946,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__Finalizer"
20:12:21,1000,-,1400947,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Signal ..atcher"
20:12:21,1000,-,1400948,0.00,0.00,0.00,0.00,0.00,3,1.00,0.00,"|__Service Thread"
20:12:21,1000,-,1400949,0.00,0.00,0.00,0.00,0.00,1,4.00,0.00,"|__Monitor..Thread"
20:12:21,1000,-,1400950,13.00,0.00,0.00,12.00,13.00,0,3.00,113.00,"|__C2 Comp..hread0"
20:12:21,1000,-,1400951,0.00,0.00,0.00,0.00,0.00,3,2.00,0.00,"|__C1 Comp..hread0"
20:12:21,1000,-,1400952,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__Notific..Thread"
20:12:21,1000,-,1400953,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Common-Cleaner"
20:12:21,1000,-,1400955,0.00,0.00,0.00,0.00,0.00,3,23.00,0.00,"|__GC Thread#1"
20:12:21,1000,-,1400956,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__Cleaner-0"
20:12:21,1000,-,1400963,1.00,0.00,0.00,1.00,1.00,1,22.00,5.00,"|__GC Thread#2"
20:12:21,1000,-,1400978,0.00,0.00,0.00,0.00,0.00,0,25.00,1.00,"|__GC Thread#3"
20:12:21,1000,-,1400980,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__Postgre..leaner"
20:12:21,1000,-,1400981,0.00,0.00,0.00,0.00,0.00,0,9.00,0.00,"|__exeris-..keeper"
20:12:21,1000,-,1400984,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__Virtual..locker"
20:12:21,1000,-,1400985,29.00,19.00,0.00,46.00,48.00,2,989.00,1156.00,"|__ForkJoi..rker-1"
20:12:21,1000,-,1400986,38.00,32.00,0.00,25.00,70.00,4,907.00,6241.00,"|__ForkJoi..rker-2"
20:12:21,1000,-,1400987,40.00,29.00,0.00,26.00,69.00,3,989.00,3760.00,"|__ForkJoi..rker-3"
20:12:21,1000,-,1400988,3.00,3.00,0.00,19.00,6.00,0,10794.00,2.00,"|__exeris/..mitter"
20:12:21,1000,-,1400989,3.00,2.00,0.00,8.00,5.00,1,2011.00,50.00,"|__carrier..ctor/0"
20:12:21,1000,-,1400990,3.00,1.00,0.00,17.00,4.00,1,1764.00,20.00,"|__carrier..ctor/1"
20:12:21,1000,-,1400991,2.00,2.00,0.00,10.00,4.00,1,1990.00,57.00,"|__carrier..ctor/2"
20:12:21,1000,-,1400992,2.00,2.00,0.00,10.00,4.00,2,1969.00,43.00,"|__carrier..ctor/3"
20:12:21,1000,-,1400993,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__carrier..ceptor"
20:12:21,1000,-,1401014,1.00,0.00,0.00,0.00,1.00,4,21.00,1.00,"|__GC Thread#4"
20:12:21,1000,-,1401034,0.00,3.00,0.00,15.00,3.00,4,5583.00,9.00,"|__MasterPoller"
20:12:21,1000,-,1401035,34.00,25.00,0.00,33.00,59.00,0,978.00,6331.00,"|__ForkJoi..rker-4"
20:12:21,1000,-,1401036,29.00,24.00,0.00,40.00,53.00,3,983.00,1969.00,"|__ForkJoi..rker-5"
20:12:21,1000,-,1401037,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__ForkJoi..eduler"
20:12:21,1000,-,1401071,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__Attach Listener"
20:12:21,1000,-,1401072,0.00,0.00,0.00,0.00,0.00,2,4.00,7.00,"|__JFR Rec..Thread"
20:12:21,1000,-,1401074,0.00,0.00,0.00,0.00,0.00,2,3.00,0.00,"|__JFR Per.. Tasks"
20:12:21,1000,-,1401101,0.00,0.00,0.00,3.00,0.00,1,374.00,8.00,"|__JFR Sam..Thread"
20:12:21,1000,-,1410958,34.00,0.00,0.00,6.00,34.00,1,1.00,260.00,"|__C2 Comp..hread1"
20:12:22,1000,1400928,-,193.00,140.00,0.00,0.00,333.00,2,0.00,0.00,"java"
20:12:22,1000,-,1400928,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__java"
20:12:22,1000,-,1400931,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__java"
20:12:22,1000,-,1400933,0.00,0.00,0.00,0.00,0.00,4,18.00,3.00,"|__GC Thread#0"
20:12:22,1000,-,1400934,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__G1 Main Marker"
20:12:22,1000,-,1400935,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__G1 Conc#0"
20:12:22,1000,-,1400936,0.00,0.00,0.00,0.00,0.00,0,23.00,0.00,"|__G1 Refi..ontrol"
20:12:22,1000,-,1400937,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__G1 Refi..kers#0"
20:12:22,1000,-,1400938,0.00,0.00,0.00,0.00,0.00,2,27.00,0.00,"|__G1 Service"
20:12:22,1000,-,1400941,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__VM Peri..Thread"
20:12:22,1000,-,1400944,0.00,0.00,0.00,1.00,0.00,1,20.00,39.00,"|__VM Thread"
20:12:22,1000,-,1400945,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Referen..andler"
20:12:22,1000,-,1400946,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__Finalizer"
20:12:22,1000,-,1400947,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Signal ..atcher"
20:12:22,1000,-,1400948,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,"|__Service Thread"
20:12:22,1000,-,1400949,0.00,0.00,0.00,0.00,0.00,1,4.00,0.00,"|__Monitor..Thread"
20:12:22,1000,-,1400950,5.00,0.00,0.00,0.00,5.00,0,2.00,56.00,"|__C2 Comp..hread0"
20:12:22,1000,-,1400951,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,"|__C1 Comp..hread0"
20:12:22,1000,-,1400952,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__Notific..Thread"
20:12:22,1000,-,1400953,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Common-Cleaner"
20:12:22,1000,-,1400955,0.00,0.00,0.00,1.00,0.00,0,24.00,1.00,"|__GC Thread#1"
20:12:22,1000,-,1400956,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__Cleaner-0"
20:12:22,1000,-,1400963,0.00,0.00,0.00,0.00,0.00,4,22.00,3.00,"|__GC Thread#2"
20:12:22,1000,-,1400978,0.00,0.00,0.00,0.00,0.00,1,25.00,1.00,"|__GC Thread#3"
20:12:22,1000,-,1400980,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__Postgre..leaner"
20:12:22,1000,-,1400981,0.00,0.00,0.00,0.00,0.00,0,3.00,0.00,"|__exeris-..keeper"
20:12:22,1000,-,1400984,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__Virtual..locker"
20:12:22,1000,-,1400985,26.00,23.00,0.00,46.00,49.00,2,633.00,2468.00,"|__ForkJoi..rker-1"
20:12:22,1000,-,1400986,46.00,33.00,0.00,16.00,79.00,4,646.00,6382.00,"|__ForkJoi..rker-2"
20:12:22,1000,-,1400987,33.00,24.00,0.00,37.00,57.00,3,701.00,2308.00,"|__ForkJoi..rker-3"
20:12:22,1000,-,1400988,3.00,5.00,0.00,19.00,8.00,3,10903.00,5.00,"|__exeris/..mitter"
20:12:22,1000,-,1400989,2.00,1.00,0.00,12.00,3.00,2,1900.00,25.00,"|__carrier..ctor/0"
20:12:22,1000,-,1400990,2.00,2.00,0.00,8.00,4.00,4,1993.00,32.00,"|__carrier..ctor/1"
20:12:22,1000,-,1400991,3.00,2.00,0.00,11.00,5.00,0,2057.00,29.00,"|__carrier..ctor/2"
20:12:22,1000,-,1400992,2.00,1.00,0.00,13.00,3.00,0,1921.00,31.00,"|__carrier..ctor/3"
20:12:22,1000,-,1400993,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__carrier..ceptor"
20:12:22,1000,-,1401014,0.00,0.00,0.00,0.00,0.00,2,24.00,2.00,"|__GC Thread#4"
20:12:22,1000,-,1401034,1.00,1.00,0.00,13.00,2.00,4,4064.00,7.00,"|__MasterPoller"
20:12:22,1000,-,1401035,38.00,27.00,0.00,30.00,65.00,4,729.00,3736.00,"|__ForkJoi..rker-4"
20:12:22,1000,-,1401036,30.00,20.00,0.00,45.00,50.00,2,677.00,1538.00,"|__ForkJoi..rker-5"
20:12:22,1000,-,1401037,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__ForkJoi..eduler"
20:12:22,1000,-,1401071,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__Attach Listener"
20:12:22,1000,-,1401072,1.00,0.00,0.00,0.00,1.00,0,6.00,4.00,"|__JFR Rec..Thread"
20:12:22,1000,-,1401074,0.00,0.00,0.00,0.00,0.00,0,3.00,0.00,"|__JFR Per.. Tasks"
20:12:22,1000,-,1401101,0.00,1.00,0.00,2.00,1.00,0,423.00,2.00,"|__JFR Sam..Thread"
20:12:23,1000,1400928,-,191.00,142.00,0.00,0.00,333.00,2,0.00,0.00,"java"
20:12:23,1000,-,1400928,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__java"
20:12:23,1000,-,1400931,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__java"
