contract	stack	cell	nonheap_committed_kb	class_metadata_total_kb	class_kb	metaspace_kb	shared_class_space_kb	code_kb	gc_kb	thread_kb	compiler_kb	symbol_kb	internal_kb	other_kb	nmt_instrument_kb	nonheap_res_kb	nonheap_anon_kb	nonheap_file_kb	loaded_classes	platform_threads	nmt_coverage_of_res	nmt_coverage_of_anon
light	community	light-community	85716	32890	2776	16106	14008	18158	17285	1138	377	3485	1391	6402	1824	137640	109776	27864	4673	34	0.636	0.799
light	qtuned	light-qtuned	108230	50522	4794	31727	14008	22429	17291	1427	375	6822	1388	3483	3037	169300	140152	29148	7545	34	0.642	0.775
light	qhib	light-qhib	146344	73105	8481	50616	14008	29020	17291	1096	375	12215	1422	5293	4745	234040	207312	26792	11653	34	0.623	0.703
heavy	community	heavy-community	87119	33258	2886	16365	14008	19284	17285	1223	376	3493	1397	6558	1853	152796	124932	27900	4723	33	0.57	0.697
heavy	qtuned	heavy-qtuned	117622	50104	4754	31342	14008	23968	17291	1427	361	6737	1390	3499	3083	180096	150948	29148	7444	34	0.645	0.768
heavy	qhib	heavy-qhib	161293	78390	9598	54784	14008	33850	17291	1183	376	13360	1439	5293	5215	278568	251828	26752	12350	34	0.581	0.643
