Time,UID,TGID,TID,%usr,%system,%guest,%wait,%CPU,CPU,cswch/s,nvcswch/s,Command
20:36:26,1000,-,1462016,0.00,0.00,0.00,0.00,0.00,4,1.00,2.00,"|__JFR Rec..Thread"
20:36:26,1000,-,1462018,0.00,0.00,0.00,0.00,0.00,4,3.00,0.00,"|__JFR Per.. Tasks"
20:36:26,1000,-,1462044,0.00,0.00,0.00,12.00,0.00,0,553.00,1.00,"|__JFR Sam..Thread"
20:36:26,1000,-,1462058,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__ForkJoi..eduler"
20:36:26,1000,-,1471560,46.00,0.00,0.00,50.00,46.00,2,14.00,285.00,"|__C2 Comp..hread1"
20:36:27,1000,1461878,-,358.00,97.00,0.00,0.00,455.00,0,0.00,0.00,"java"
20:36:27,1000,-,1461878,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__java"
20:36:27,1000,-,1461881,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__java"
20:36:27,1000,-,1461883,0.00,0.00,0.00,1.00,0.00,1,28.00,7.00,"|__GC Thread#0"
20:36:27,1000,-,1461884,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__G1 Main Marker"
20:36:27,1000,-,1461885,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__G1 Conc#0"
20:36:27,1000,-,1461886,0.00,0.00,0.00,0.00,0.00,2,24.00,0.00,"|__G1 Refi..ontrol"
20:36:27,1000,-,1461887,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__G1 Refi..kers#0"
20:36:27,1000,-,1461888,0.00,0.00,0.00,0.00,0.00,4,25.00,1.00,"|__G1 Service"
20:36:27,1000,-,1461893,0.00,0.00,0.00,0.00,0.00,4,1.00,0.00,"|__VM Peri..Thread"
20:36:27,1000,-,1461894,0.00,0.00,0.00,1.00,0.00,4,26.00,34.00,"|__VM Thread"
20:36:27,1000,-,1461895,0.00,0.00,0.00,0.00,0.00,4,5.00,0.00,"|__Referen..andler"
20:36:27,1000,-,1461896,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__Finalizer"
20:36:27,1000,-,1461897,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__Signal ..atcher"
20:36:27,1000,-,1461898,0.00,0.00,0.00,0.00,0.00,2,1.00,0.00,"|__Service Thread"
20:36:27,1000,-,1461899,0.00,0.00,0.00,0.00,0.00,2,4.00,0.00,"|__Monitor..Thread"
20:36:27,1000,-,1461900,42.00,0.00,0.00,25.00,42.00,1,9.00,216.00,"|__C2 Comp..hread0"
20:36:27,1000,-,1461901,0.00,0.00,0.00,2.00,0.00,1,31.00,0.00,"|__C1 Comp..hread0"
20:36:27,1000,-,1461902,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__Notific..Thread"
20:36:27,1000,-,1461903,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__Common-Cleaner"
20:36:27,1000,-,1461904,1.00,0.00,0.00,46.00,1.00,0,29.00,4.00,"|__GC Thread#1"
20:36:27,1000,-,1461906,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__Referen..per #1"
20:36:27,1000,-,1461907,1.00,0.00,0.00,1.00,1.00,0,30.00,2.00,"|__GC Thread#2"
20:36:27,1000,-,1461908,1.00,0.00,0.00,0.00,1.00,1,31.00,0.00,"|__GC Thread#3"
20:36:27,1000,-,1461909,1.00,0.00,0.00,0.00,1.00,3,26.00,7.00,"|__GC Thread#4"
20:36:27,1000,-,1461910,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__executo..read-1"
20:36:27,1000,-,1461911,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Innocuo..read-1"
20:36:27,1000,-,1461912,0.00,0.00,0.00,0.00,0.00,1,1.00,0.00,"|__vertx-b..hecker"
20:36:27,1000,-,1461914,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__agroal-11"
20:36:27,1000,-,1461917,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Cleaner-0"
20:36:27,1000,-,1461921,7.00,5.00,0.00,16.00,12.00,1,3663.00,83.00,"|__vert.x-..read-0"
20:36:27,1000,-,1461922,6.00,6.00,0.00,23.00,12.00,3,3372.00,53.00,"|__vert.x-..read-1"
20:36:27,1000,-,1461923,6.00,6.00,0.00,23.00,12.00,4,3118.00,61.00,"|__vert.x-..read-2"
20:36:27,1000,-,1461924,8.00,4.00,0.00,16.00,12.00,1,3902.00,55.00,"|__vert.x-..read-3"
20:36:27,1000,-,1461925,8.00,5.00,0.00,19.00,13.00,4,3653.00,104.00,"|__vert.x-..read-4"
20:36:27,1000,-,1461926,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__vert.x-..king-1"
20:36:27,1000,-,1461927,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__vert.x-..read-0"
20:36:27,1000,-,1461948,0.00,0.00,0.00,1.00,0.00,1,42.00,0.00,"|__Virtual..locker"
20:36:27,1000,-,1461949,53.00,16.00,0.00,28.00,69.00,3,135.00,3690.00,"|__ForkJoi..rker-1"
20:36:27,1000,-,1461953,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Transac..Reaper"
20:36:27,1000,-,1461954,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Transac..rker 0"
20:36:27,1000,-,1461977,0.00,0.00,0.00,5.00,0.00,3,1108.00,0.00,"|__MasterPoller"
20:36:27,1000,-,1461978,41.00,12.00,0.00,44.00,53.00,4,165.00,2137.00,"|__ForkJoi..rker-2"
