epoch_ms,component,cpu_pct,mem_mb
1787388381000,exeris-e2e-saga-lra-coordinator,10.03,340.10
1787388381000,exeris-e2e-saga-postgres,4.36,139.10
1787388381000,exeris-e2e-saga-payment-gateway,0.01,14.92
1787388381000,target-jvm,6.00,
1787388386000,exeris-e2e-saga-lra-coordinator,0.62,339.30
1787388386000,exeris-e2e-saga-postgres,0.00,139.10
1787388386000,exeris-e2e-saga-payment-gateway,0.01,14.92
1787388386000,target-jvm,6.33,
1787388391000,exeris-e2e-saga-lra-coordinator,2.79,338.20
1787388391000,exeris-e2e-saga-postgres,0.00,139.10
1787388391000,exeris-e2e-saga-payment-gateway,0.07,14.91
1787388391000,target-jvm,5.33,
1787388396000,exeris-e2e-saga-lra-coordinator,0.56,336.70
1787388396000,exeris-e2e-saga-postgres,4.39,139.10
1787388396000,exeris-e2e-saga-payment-gateway,0.01,14.92
1787388396000,target-jvm,8.00,
1787388401000,exeris-e2e-saga-lra-coordinator,0.62,333.90
1787388401000,exeris-e2e-saga-postgres,0.00,139.10
1787388401000,exeris-e2e-saga-payment-gateway,0.01,14.91
1787388401000,target-jvm,5.00,
1787388406000,exeris-e2e-saga-lra-coordinator,0.62,331.80
1787388406000,exeris-e2e-saga-postgres,4.42,139.10
1787388406000,exeris-e2e-saga-payment-gateway,0.10,14.71
1787388406000,target-jvm,5.33,
1787388412000,exeris-e2e-saga-lra-coordinator,0.53,330.80
1787388412000,exeris-e2e-saga-postgres,4.39,139.30
1787388412000,exeris-e2e-saga-payment-gateway,0.00,14.55
1787388412000,target-jvm,10.00,
1787388417000,exeris-e2e-saga-lra-coordinator,0.67,329.90
1787388417000,exeris-e2e-saga-postgres,3.72,140.60
1787388417000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787388417000,target-jvm,3.33,
1787388422000,exeris-e2e-saga-lra-coordinator,0.53,328.50
1787388422000,exeris-e2e-saga-postgres,4.43,139.10
1787388422000,exeris-e2e-saga-payment-gateway,3.43,14.55
1787388422000,target-jvm,3.33,
1787388427000,exeris-e2e-saga-lra-coordinator,0.54,327.60
1787388427000,exeris-e2e-saga-postgres,0.00,139.10
1787388427000,exeris-e2e-saga-payment-gateway,0.00,14.55
1787388427000,target-jvm,3.33,
1787388432000,exeris-e2e-saga-lra-coordinator,0.91,326.60
1787388432000,exeris-e2e-saga-postgres,4.37,139.10
1787388432000,exeris-e2e-saga-payment-gateway,7.84,14.55
1787388432000,target-jvm,3.33,
1787388437000,exeris-e2e-saga-lra-coordinator,0.30,325.70
1787388437000,exeris-e2e-saga-postgres,0.02,139.10
1787388437000,exeris-e2e-saga-payment-gateway,0.00,14.55
1787388437000,target-jvm,3.67,
1787388442000,exeris-e2e-saga-lra-coordinator,0.28,325.90
1787388442000,exeris-e2e-saga-postgres,4.36,139.20
1787388442000,exeris-e2e-saga-payment-gateway,7.83,14.61
1787388442000,target-jvm,2.67,
1787388447000,exeris-e2e-saga-lra-coordinator,0.09,325.60
1787388447000,exeris-e2e-saga-postgres,0.00,139.10
1787388447000,exeris-e2e-saga-payment-gateway,7.81,14.55
1787388447000,target-jvm,2.67,
1787388452000,exeris-e2e-saga-lra-coordinator,0.08,325.90
1787388452000,exeris-e2e-saga-postgres,0.00,139.10
1787388452000,exeris-e2e-saga-payment-gateway,7.86,14.75
1787388452000,target-jvm,2.33,
1787388457000,exeris-e2e-saga-lra-coordinator,0.18,325.80
1787388457000,exeris-e2e-saga-postgres,4.34,139.10
1787388457000,exeris-e2e-saga-payment-gateway,7.91,14.59
1787388457000,target-jvm,2.67,
1787388462000,exeris-e2e-saga-lra-coordinator,0.07,325.50
1787388462000,exeris-e2e-saga-postgres,0.00,139.10
1787388462000,exeris-e2e-saga-payment-gateway,7.86,14.61
1787388462000,target-jvm,2.33,
