component,phase,anon_bytes,file_bytes,rss_kb,gc_invoked
exeris-e2e-saga-lra-coordinator,before,335089664,3551232,,
exeris-e2e-saga-lra-coordinator,after,336121856,3551232,,yes
target-jvm,before,,,585732,
target-jvm,after,,,531624,yes
