epoch_ms,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
1777981895211909945,22.36,747.1,62156,8,0,003,0,001,0,004,1.33,120
1777981897263110520,3.07,747.1,62156,8,0,004,0,001,0,004,1.33,120
1777981899308920192,4.12,746.7,62156,8,0,004,0,001,0,004,1.33,120
1777981901386734048,2.29,747.8,62156,8,0,004,0,001,0,004,1.33,120
1777981903459123878,55.18,765.4,62156,8,0,010,0,006,0,004,1.33,126
1777981905542833308,12.41,768.4,62156,8,0,013,0,009,0,004,1.33,126
1777981907631662416,3.40,768.6,62156,8,0,017,0,013,0,004,1.33,126
1777981909754348984,4.99,768.8,62156,8,0,021,0,017,0,004,1.33,126
1777981911848955075,5.05,769.5,62156,8,0,025,0,019,0,004,1.33,126
1777981913991879584,12.30,769.5,62156,8,0,026,0,020,0,004,1.33,126
177798191674611281,12.30,769.8,62156,8,0,032,0,025,0,004,1.33,126
1777981918219368197,3.72,769.8,62156,8,0,036,0,029,0,004,1.33,126
1777981920311617333,1.66,769.9,62156,8,0,039,0,031,0,004,1.33,126
1777981922414594705,4.15,771.1,62156,8,0,042,0,034,0,004,1.33,126
1777981924491186281,7.12,771.3,62156,8,0,047,0,038,0,004,1.33,126
1777981926535993724,3.01,771.8,62156,8,0,049,0,040,0,004,1.35,126
1777981928568090953,2.06,772,62156,8,0,052,0,043,0,004,1.35,126
1777981930598102533,14.73,772.1,62156,8,0,057,0,047,0,004,1.35,126
1777981932627142853,2.63,771.9,62156,8,0,060,0,050,0,004,1.35,126
1777981934659307308,3.64,773.1,62156,8,0,064,0,053,0,004,1.35,126
1777981936689447668,2.89,772,62156,8,0,067,0,056,0,004,1.35,120
1777981938720219185,2.90,771.8,62156,8,0,070,0,058,0,004,1.35,120
1777981940754173057,6.62,772.5,62156,8,0,072,0,060,0,004,1.35,120
1777981942790318075,2.21,772.3,62156,8,0,078,0,066,0,004,1.35,120
1777981944823359125,4.20,772.5,62156,8,0,082,0,069,0,004,1.35,120
1777981946855246162,1.99,772.6,62156,8,0,082,0,069,0,004,1.35,120
1777981948887371534,5.06,773.8,62156,8,0,088,0,074,0,004,1.35,120
1777981950919513637,6.54,773.7,62156,8,0,091,0,077,0,004,1.35,120
1777981952948825332,2.35,774.2,62156,8,0,096,0,081,0,004,1.35,120
1777981954979300326,0.87,773.4,62156,8,0,096,0,081,0,004,1.35,120
17779819579788816,2.73,774.6,62156,8,0,104,0,088,0,004,1.36,120
177798195943300453,3.50,774.2,62156,8,0,104,0,089,0,004,1.36,120
177798196173754885,9.52,774.3,62156,8,0,109,0,093,0,004,1.36,120
1777981963104908792,2.36,774.4,62156,8,0,113,0,096,0,004,1.36,120
1777981965136421469,3.14,775,62156,8,0,118,0,101,0,004,1.36,120
1777981967169726119,3.57,775.8,62156,8,0,125,0,106,0,004,1.36,120
1777981969199441172,3.45,775.2,62156,8,0,130,0,110,0,004,1.36,120
1777981971229079473,6.38,775.6,62156,8,0,135,0,115,0,004,1.36,120
1777981973261765398,2.13,775.5,62156,8,0,141,0,120,0,004,1.36,120
1777981975293046383,1.24,775.7,62156,8,0,144,0,123,0,004,1.36,120
1777981977324801803,5.51,776,62156,8,0,151,0,130,0,004,1.36,120
1777981979356568313,4.64,776.3,62156,8,0,154,0,132,0,004,1.36,120
1777981981389349857,9.41,777,62156,8,0,161,0,139,0,004,1.36,120
1777981983419935084,2.02,776.9,62156,8,0,164,0,141,0,004,1.36,120
1777981985453565521,1.40,776.5,62156,8,0,170,0,146,0,004,1.36,120
1777981987486817903,1.57,777.2,62156,8,0,175,0,150,0,004,1.38,120
1777981989517552068,2.36,777.1,62156,8,0,180,0,154,0,004,1.38,120
1777981991551510927,7.09,777.8,62156,8,0,186,0,159,0,004,1.38,120
1777981993582662280,3.16,777.8,62156,8,0,191,0,164,0,004,1.38,120
1777981995613981677,1.35,777.9,62156,8,0,194,0,167,0,004,1.38,120
1777981997645203050,2.23,778.2,62156,8,0,200,0,173,0,004,1.38,120
1777981999676521865,3.31,778.3,62156,8,0,207,0,179,0,004,1.38,120
1777982001707126298,6.96,778.1,62156,8,0,212,0,183,0,004,1.38,120
1777982003745011001,3.06,779.1,62156,8,0,217,0,187,0,004,1.38,120
1777982005780111050,1.52,778.2,62156,8,0,222,0,190,0,004,1.38,120
1777982007812795312,3.01,779.2,62156,8,0,229,0,197,0,004,1.38,120
1777982009844525154,4.66,778.7,62156,8,0,234,0,202,0,004,1.38,120
1777982011885146162,9.32,779.4,62156,8,0,239,0,206,0,004,1.38,120
1777982013916073907,4.61,779.3,62156,8,0,243,0,210,0,004,1.38,120
1777982015948218222,2.03,779.6,62156,8,0,248,0,215,0,004,1.38,120
1777982017978996650,2.20,779.9,62156,8,0,254,0,219,0,004,1.39,120
17779820209401650,2.79,780,62156,8,0,259,0,224,0,004,1.39,120
177798202241112918,9.05,779.8,62156,8,0,264,0,228,0,004,1.39,120
177798202472201724,4.63,780.6,62156,8,0,269,0,232,0,004,1.39,120
1777982026102870707,1.02,780.1,62156,8,0,273,0,236,0,004,1.39,120
1777982028133957810,1.01,780.2,62156,8,0,277,0,239,0,004,1.39,120
1777982030165391910,1.70,780.9,62156,8,0,283,0,245,0,004,1.39,120
1777982032195987567,7.33,780.5,62156,8,0,289,0,251,0,004,1.39,120
1777982034226863045,3.73,781.3,62156,8,0,294,0,255,0,004,1.39,120
1777982036257613259,2.12,784,62156,8,0,300,0,260,0,004,1.39,126
1777982038287291554,1.09,780.9,62156,8,0,305,0,264,0,004,1.39,120
1777982040317997787,3.17,781,62156,8,0,309,0,268,0,004,1.39,120
1777982042348278095,1.98,781.5,62156,8,0,313,0,271,0,004,1.39,120
1777982044377504467,5.77,782.1,62156,8,0,320,0,278,0,004,1.39,120
1777982046408442672,6.03,782.4,62156,8,0,325,0,282,0,004,1.39,120
1777982048441424249,2.35,782.2,62156,8,0,330,0,286,0,004,1.41,120
1777982050470733496,1.65,781.8,62156,8,0,336,0,292,0,004,1.41,120
1777982052500994107,1.42,782.6,62156,8,0,340,0,295,0,004,1.41,120
1777982054530877705,2.97,782.2,62156,8,0,347,0,301,0,004,1.41,120
1777982056560344455,5.38,783.2,62156,8,0,350,0,303,0,004,1.41,120
1777982058589411160,7.33,783.8,62156,8,0,354,0,309,0,004,1.41,120
1777982060618666626,1.07,782.7,62156,8,0,359,0,312,0,004,1.41,120
1777982062647044335,1.14,783.1,62156,8,0,363,0,315,0,004,1.41,120
1777982064677086318,3.34,783.2,62156,8,0,372,0,323,0,004,1.41,120
1777982066706899595,8.49,783.9,62156,8,0,375,0,326,0,004,1.41,120
1777982068737435049,1.82,783.6,62156,8,0,378,0,329,0,004,1.41,120
1777982070768160227,2.20,783,62156,8,0,386,0,335,0,004,1.41,120
1777982072798932162,4.23,783.1,62156,8,0,389,0,338,0,004,1.41,120
1777982074830453285,2.93,783.3,62156,8,0,396,0,345,0,004,1.41,120
1777982076861178633,7.23,783.8,62156,8,0,402,0,351,0,004,1.41,120
1777982078889629098,1.67,783.6,62156,8,0,405,0,353,0,004,1.42,120
1777982080918965495,1.34,783.6,62156,8,0,412,0,359,0,004,1.42,120
1777982082948744017,1.21,783.4,62156,8,0,416,0,362,0,004,1.42,120
1777982084978569276,1.65,783.5,62156,8,0,422,0,367,0,004,1.42,120
17779820878470848,7.25,783.9,62156,8,0,427,0,371,0,004,1.42,120
177798208937194933,2.13,784.2,62156,8,0,431,0,375,0,004,1.42,120
177798209166308404,1.91,785.2,62156,8,0,438,0,381,0,004,1.42,120
177798209396449603,1.14,784.7,62156,8,0,441,0,384,0,004,1.42,120
1777982095126972353,1.35,785,62156,8,0,446,0,389,0,004,1.42,120
