epoch_s,total_backends,active,idle,idle_in_txn,max_connections
1785428656,27,1,22,4,300
1785428658,27,1,25,1,300
1785428659,27,0,25,2,300
1785428660,27,2,23,2,300
1785428661,27,2,22,3,300
1785428662,27,1,24,2,300
1785428663,27,5,16,6,300
1785428664,27,0,26,1,300
1785428665,27,3,21,3,300
1785428666,27,0,27,0,300
1785428667,27,1,24,2,300
1785428668,27,1,24,2,300
1785428669,27,0,27,0,300
1785428671,27,2,23,2,300
1785428672,27,2,19,6,300
1785428673,27,1,23,3,300
1785428674,27,1,24,2,300
1785428675,29,2,25,2,300
1785428676,29,2,24,3,300
1785428677,29,1,26,2,300
1785428678,29,3,22,4,300
1785428679,29,2,24,3,300
1785428680,29,0,28,1,300
1785428681,29,0,29,0,300
1785428682,29,2,25,2,300
1785428684,29,1,27,1,300
1785428685,29,0,29,0,300
1785428686,29,2,23,4,300
1785428687,29,1,26,2,300
1785428688,29,1,25,3,300
1785428689,29,2,24,3,300
1785428690,29,2,23,4,300
1785428691,29,1,28,0,300
1785428692,29,1,26,2,300
1785428693,29,1,26,2,300
1785428694,29,0,29,0,300
1785428695,29,1,28,0,300
1785428697,29,3,21,5,300
1785428698,29,1,26,2,300
1785428699,29,1,27,1,300
1785428700,29,0,27,2,300
1785428701,29,5,20,4,300
1785428702,29,4,21,4,300
1785428703,29,1,27,1,300
1785428704,29,2,24,3,300
1785428705,29,1,27,1,300
1785428706,29,3,22,4,300
1785428707,29,0,29,0,300
1785428708,29,3,21,5,300
1785428710,29,2,24,3,300
1785428711,29,2,23,4,300
1785428712,29,2,23,4,300
1785428713,29,5,18,6,300
1785428714,29,2,25,2,300
1785428715,29,2,24,3,300
1785428716,29,0,26,3,300
1785428717,29,0,27,2,300
1785428718,29,3,20,6,300
1785428719,29,3,23,3,300
1785428720,29,3,24,2,300
1785428721,29,5,19,5,300
1785428723,29,1,25,3,300
1785428724,29,4,19,6,300
1785428725,30,0,30,0,300
1785428726,30,0,30,0,300
1785428727,30,2,25,3,300
1785428728,30,2,26,2,300
1785428729,30,4,23,3,300
1785428730,30,2,25,3,300
1785428731,30,2,20,8,300
1785428732,30,2,25,3,300
1785428733,30,0,28,2,300
1785428735,30,0,28,2,300
1785428736,30,2,27,1,300
1785428737,30,4,22,4,300
1785428738,30,0,30,0,300
1785428739,30,1,25,4,300
1785428740,30,2,24,4,300
1785428741,30,1,27,2,300
1785428742,30,2,26,2,300
1785428743,30,0,30,0,300
1785428744,30,1,27,2,300
1785428745,30,1,25,4,300
1785428746,30,0,30,0,300
1785428748,30,2,23,5,300
1785428749,30,0,29,1,300
1785428750,30,2,26,2,300
1785428751,30,1,24,5,300
1785428752,30,2,26,2,300
1785428753,30,2,26,2,300
1785428754,30,2,26,2,300
1785428755,30,4,20,6,300
1785428756,30,3,23,4,300
1785428757,30,0,28,2,300
1785428758,30,0,29,1,300
1785428759,30,0,30,0,300
1785428761,30,2,26,2,300
1785428762,30,0,28,2,300
1785428763,30,1,28,1,300
1785428764,30,0,30,0,300
1785428765,30,0,30,0,300
1785428766,30,0,30,0,300
1785428767,30,0,30,0,300
1785428768,30,0,30,0,300
