epoch_ms,utime_ticks,stime_ticks,rss_kb,vmsize_kb,threads,vmhwm_kb,smaps_rss_kb,cgroup_mem_kb
1781957967428902100,95391,38882,3440280,21256844,51,4043776,3440800,22344128
1781957968506727063,95804,38967,3441816,21256844,51,4043776,3442476,22352696
1781957969672395463,96236,39086,3442968,21256844,51,4043776,3443524,22355868
178195797184463898,96717,39222,3444760,21256844,51,4043776,3445372,22358808
1781957972334862245,97245,39375,3445400,21256844,51,4043776,3445940,22360048
1781957973511868493,97694,39492,3445912,21256844,51,4043776,3446408,22361340
1781957974929341628,98149,39682,3445912,21256844,50,4043776,3446412,22362452
178195797625750435,98494,39826,3445912,21256844,50,4043776,3446428,22362788
1781957977188281098,98841,39972,3445912,21256844,50,4043776,3446464,22363292
1781957978416912728,99228,40133,3445912,21256844,50,4043776,3446472,22364596
1781957979620858350,99611,40285,3445912,21256844,50,4043776,3446512,22364928
1781957980818175838,99976,40445,3445912,21256844,50,4043776,3446512,22366680
1781957982348623179,100439,40644,3445912,21256844,50,4043776,3446528,22366052
1781957983536550005,100793,40780,3445912,21256844,50,4043776,3446536,22368200
1781957984956981072,101214,40956,3445912,21256844,50,4043776,3446576,22369892
1781957986224909175,101604,41123,3446040,21256844,50,4043776,3446580,22369284
1781957987590285238,101959,41267,3446168,21256844,50,4043776,3446596,22370380
178195798939348450,102486,41487,3446168,21256844,50,4043776,3446596,22371768
1781957990228960843,102863,41642,3446168,21256844,50,4043776,3446612,22374288
1781957991534804292,103271,41808,3446168,21256844,50,4043776,3446612,22373808
1781957992924041642,103691,41984,3446296,21256844,50,4043776,3446648,22374588
178195799429509613,104040,42132,3446296,21256844,50,4043776,3446648,22375212
1781957995247764369,104385,42281,3446296,21256844,50,4043776,3446672,22376524
1781957996464199008,104770,42438,3446296,21256844,50,4043776,3446744,22377444
1781957997671540530,105146,42602,3446296,21256844,50,4043776,3446760,22378720
1781957999212868464,105512,42763,3446296,21256844,50,4043776,3446768,22378548
1781958000403191654,106006,42976,3446296,21256844,50,4043776,3446772,22379132
1781958001557182153,106351,43113,3446296,21256844,50,4043776,3446772,22380000
1781958002757039613,106663,43244,3446296,21256844,50,4043776,3446784,22381044
1781958003915989401,107023,43387,3446296,21256844,50,4043776,3446792,22382388
178195800555001546,107366,43538,3446296,21256844,50,4043776,3446812,22383512
1781958006184813545,107714,43685,3446424,21256844,50,4043776,3446824,22382852
1781958007460105156,108103,43853,3446424,21256844,50,4043776,3446824,22385200
1781958008777561466,108497,44020,3446424,21256844,50,4043776,3446832,22385740
1781958009986244062,108877,44173,3446424,21256844,50,4043776,3446832,22386576
1781958011184185585,109244,44319,3446424,21256844,50,4043776,3446844,22386932
1781958012341160385,109583,44465,3446424,21256844,50,4043776,3446848,22387856
1781958013470674849,109922,44616,3446424,21256844,50,4043776,3446848,22388396
1781958014683195841,110289,44763,3446424,21256844,50,4043776,3446852,22389124
1781958015895798365,110666,44909,3446424,21256844,50,4043776,3446864,22390384
1781958017152547849,111067,45076,3446424,21256844,50,4043776,3446880,22390616
1781958018281515672,111406,45219,3446424,21256844,50,4043776,3446892,22392896
1781958019727598519,111863,45417,3446424,21256844,50,4043776,3446956,22392188
1781958020915938176,112235,45568,3446424,21256844,50,4043776,3446980,22396728
1781958022165757011,112630,45729,3446424,21256844,50,4043776,3446984,22395696
1781958023320830742,112983,45875,3446424,21256844,50,4043776,3446984,22395920
1781958024485200729,113345,46019,3446424,21256844,50,4043776,3447000,22397180
1781958025702485575,113710,46179,3446424,21256844,50,4043776,3447052,22397780
1781958026845487469,114063,46328,3446424,21256844,50,4043776,3447056,22398296
17819580284225912,114417,46473,3446552,21256844,50,4043776,3447068,22399308
1781958029230142132,114781,46636,3446552,21256844,50,4043776,3447072,22400360
1781958030348381446,115134,46786,3446552,21256844,50,4043776,3447080,22401100
1781958031678711991,115541,46962,3446552,21256844,50,4043776,3447084,22402088
1781958032930163584,115918,47127,3446552,21256844,50,4043776,3447084,22402664
1781958034114620321,116293,47277,3446552,21256844,50,4043776,3447084,22403892
1781958035374102778,116661,47437,3446552,21256844,50,4043776,3447108,22405652
1781958036656487010,117012,47590,3446552,21256844,50,4043776,3447108,22406164
1781958037818192713,117323,47723,3446552,21256844,50,4043776,3447152,22408620
1781958038915023228,117636,47863,3446552,21256844,50,4043776,3447156,22408932
1781958040182809015,117995,48016,3446552,21256844,50,4043776,3447204,22409808
