epoch_ms,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
1777983034118984935,6.67,771.4,62156,8,0,011,0,004,0,1.65,133
1777983036148021900,3.39,771.5,62156,8,0,013,0,005,0,1.65,133
1777983038177541245,4.44,771.7,62156,8,0,015,0,005,0,1.65,133
1777983040207514327,37.76,800.6,62156,8,0,032,0,025,0,012,1.65,147
1777983042240451050,13.20,802.2,62156,8,0,053,0,051,0,012,1.65,147
1777983044273488701,21.48,807.2,62156,8,0,107,0,119,0,012,1.65,147
1777983046304957524,9.60,810.5,62156,8,0,116,0,129,0,012,1.65,148
1777983048335254190,14.60,811.8,62156,8,0,147,0,167,0,012,1.65,148
1777983050365629022,19.06,812.6,62156,8,0,188,0,215,0,012,1.65,148
1777983052404106404,29.68,813.8,62156,8,0,219,0,254,0,012,1.65,148
1777983054478394412,27.07,820.5,62156,8,0,264,0,311,0,012,1.65,148
1777983056509482665,11.93,819.9,62156,8,0,289,0,340,0,012,1.65,148
1777983058539678122,5.18,821,62156,8,0,298,0,350,0,012,1.65,148
1777983060570699010,14.56,822.8,62156,8,0,344,0,404,0,012,1.65,148
1777983062603364055,16.46,822.1,62156,8,0,371,0,437,0,012,1.65,148
1777983064636676399,7.44,822.4,62156,8,0,396,0,466,0,012,1.66,148
1777983066668516956,23.21,823.2,62156,8,0,436,0,516,0,012,1.66,148
1777983068698170862,27.07,824.5,62156,8,0,475,0,563,0,012,1.66,148
1777983070729542655,16.09,826.3,62156,8,0,499,0,592,0,012,1.68,148
1777983072759706813,11.39,825.5,62156,8,0,539,0,641,0,012,1.73,148
1777983074793711739,4.67,827.4,62156,8,0,572,0,679,0,012,1.79,143
1777983076825696816,12.28,826.4,62156,8,0,604,0,718,0,012,1.89,143
1777983078858875791,20.93,827.4,62156,8,0,656,0,782,0,012,2.25,143
1777983080894760885,22.41,827.4,62156,8,0,684,0,815,0,012,2.33,143
1777983082928243997,23.04,826.9,62156,8,0,716,0,854,0,012,2.4,143
1777983084959337560,3.91,827.8,62156,8,0,740,0,883,0,012,2.46,143
1777983086990593506,6.61,827.3,62156,8,0,764,0,911,0,012,2.53,143
177798308921365239,7.61,828.9,62156,8,0,812,0,970,0,012,2.63,143
177798309151699244,10.71,829.7,62156,8,0,829,1.01,0,012,2.71,141
177798309381928885,7.92,828.5,62156,8,0,860,1.05,0,012,2.79,141
1777983095112947218,7.46,829.1,62156,8,0,893,1.09,0,012,2.87,141
1777983097143829947,8.80,830.2,62156,8,0,932,1.14,0,012,2.92,141
1777983099173596955,9.25,830.6,62156,8,1,1.2,0,012,3.08,141
1777983101200492604,8.52,830.1,62156,8,1.04,1.24,0,012,3.25,141
1777983103228050810,11.59,830.6,62156,8,1.09,1.3,0,012,3.48,141
1777983105257447877,6.70,830.7,62156,8,1.15,1.38,0,012,3.81,140
1777983107286022760,2.89,830.3,62156,8,1.17,1.41,0,012,4.07,140
1777983109315826897,26.70,830.5,62156,8,1.24,1.48,0,012,4.72,140
1777983111344070191,15.22,832.1,62156,8,1.29,1.55,0,012,4.92,140
1777983113372698794,10.67,833.7,62156,8,1.35,1.63,0,012,5.24,140
1777983115401022688,5.68,835.9,62156,8,1.4,1.68,0,012,5.51,140
1777983117429381268,8.83,836.4,62156,8,1.44,1.74,0,012,5.77,140
1777983119457360269,13.16,835.6,62156,8,1.5,1.81,0,012,6.23,140
1777983121486114035,8.82,836.9,62156,8,1.55,1.88,0,012,6.62,140
1777983123516362631,3.75,836,62156,8,1.59,1.92,0,012,7.14,140
1777983125544451297,8.49,837.2,62156,8,1.64,1.99,0,012,7.67,140
1777983127571862098,8.16,837.4,62156,8,1.68,2.04,0,012,8.19,140
1777983129600343025,22.38,838,62156,8,1.73,2.09,0,012,8.86,140
1777983131630712838,21.43,839.9,62156,8,1.8,2.18,0,012,9.39,140
1777983133659777364,3.52,840.2,62156,8,1.81,2.2,0,012,9.65,140
1777983135689524124,6.10,840,62156,8,1.88,2.29,0,012,10.3,140
1777983137718472774,7.43,840.8,62156,8,1.93,2.35,0,012,10.8,140
1777983139748774179,8.18,841.4,62156,8,2,2.44,0,012,11.8,140
1777983141777498811,5.82,841.4,62156,8,2.03,2.48,0,012,12.4,140
1777983143808626338,7.10,841.1,62156,8,2.09,2.55,0,012,13,140
1777983145840240963,2.56,842.2,62156,8,2.13,2.6,0,012,13.7,140
1777983147871482823,10.10,842.5,62156,8,2.18,2.66,0,012,14.1,140
1777983149898583384,8.64,842.8,62156,8,2.24,2.74,0,012,14.6,140
1777983151926840444,15.57,842.7,62156,8,2.29,2.8,0,012,15,140
1777983153955485889,12.10,843.5,62156,8,2.33,2.85,0,012,15.4,140
1777983155986957798,3.79,843.2,62156,8,2.39,2.92,0,012,16,140
177798315818099791,8.42,843.6,62156,8,2.42,2.96,0,012,16.6,140
177798316047463767,10.11,842.9,62156,8,2.48,3.04,0,012,17.2,140
177798316275563152,2.45,843.4,62156,8,2.53,3.1,0,012,17.8,140
1777983164105179048,4.21,843.6,62156,8,2.56,3.14,0,012,18.3,140
