epoch_ms,component,cpu_pct,mem_mb
1787386602000,exeris-e2e-saga-payment-gateway,7.85,14.61
1787386602000,target-jvm,3.33,
1787386607000,exeris-e2e-saga-postgres,4.44,140.40
1787386607000,exeris-e2e-saga-payment-gateway,7.88,14.61
1787386607000,target-jvm,3.67,
1787386612000,exeris-e2e-saga-postgres,4.46,140.50
1787386612000,exeris-e2e-saga-payment-gateway,7.76,21.65
1787386612000,target-jvm,3.67,
1787386617000,exeris-e2e-saga-postgres,0.04,140.30
1787386617000,exeris-e2e-saga-payment-gateway,0.18,15.58
1787386617000,target-jvm,3.33,
1787386622000,exeris-e2e-saga-postgres,8.89,140.30
1787386622000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386622000,target-jvm,3.33,
1787386627000,exeris-e2e-saga-postgres,0.05,140.30
1787386627000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386627000,target-jvm,3.33,
1787386632000,exeris-e2e-saga-postgres,4.50,140.50
1787386632000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386632000,target-jvm,3.67,
1787386637000,exeris-e2e-saga-postgres,0.02,140.30
1787386637000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386637000,target-jvm,3.00,
1787386642000,exeris-e2e-saga-postgres,4.43,140.50
1787386642000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386642000,target-jvm,3.33,
1787386647000,exeris-e2e-saga-postgres,5.97,140.30
1787386647000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386647000,target-jvm,3.33,
1787386652000,exeris-e2e-saga-postgres,0.04,140.30
1787386652000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386652000,target-jvm,3.67,
1787386657000,exeris-e2e-saga-postgres,4.42,140.30
1787386657000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386657000,target-jvm,3.67,
1787386662000,exeris-e2e-saga-postgres,0.03,140.30
1787386662000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386662000,target-jvm,3.67,
1787386667000,exeris-e2e-saga-postgres,0.03,140.30
1787386667000,exeris-e2e-saga-payment-gateway,7.81,14.60
1787386667000,target-jvm,3.33,
1787386672000,exeris-e2e-saga-postgres,0.03,140.30
1787386672000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386672000,target-jvm,3.33,
1787386677000,exeris-e2e-saga-postgres,0.74,141.90
1787386677000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386677000,target-jvm,3.00,
1787386682000,exeris-e2e-saga-postgres,8.92,140.30
1787386682000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386682000,target-jvm,4.00,
1787386687000,exeris-e2e-saga-postgres,0.03,140.30
1787386687000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386687000,target-jvm,3.00,
1787386692000,exeris-e2e-saga-postgres,4.40,140.30
1787386692000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386692000,target-jvm,3.67,
1787386697000,exeris-e2e-saga-postgres,0.02,140.30
1787386697000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386697000,target-jvm,3.33,
1787386702000,exeris-e2e-saga-postgres,4.41,140.50
1787386702000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386702000,target-jvm,3.33,
1787386708000,exeris-e2e-saga-postgres,4.46,140.50
1787386708000,exeris-e2e-saga-payment-gateway,0.00,14.53
1787386708000,target-jvm,3.33,
1787386713000,exeris-e2e-saga-postgres,0.03,140.30
1787386713000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386713000,target-jvm,3.67,
1787386718000,exeris-e2e-saga-postgres,4.38,140.60
1787386718000,exeris-e2e-saga-payment-gateway,0.00,14.53
1787386718000,target-jvm,3.67,
1787386723000,exeris-e2e-saga-postgres,0.03,140.30
1787386723000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386723000,target-jvm,3.67,
1787386728000,exeris-e2e-saga-postgres,4.41,140.50
1787386728000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386728000,target-jvm,3.33,
1787386733000,exeris-e2e-saga-postgres,0.02,140.50
1787386733000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386733000,target-jvm,3.33,
1787386738000,exeris-e2e-saga-postgres,0.03,140.70
1787386738000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386738000,target-jvm,3.67,
1787386743000,exeris-e2e-saga-postgres,4.37,140.80
1787386743000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386743000,target-jvm,3.33,
1787386748000,exeris-e2e-saga-postgres,4.39,140.50
