epoch_s,total_backends,active,idle,idle_in_txn,max_connections
1785428856,16,0,16,0,300
1785428857,16,0,16,0,300
1785428859,16,0,16,0,300
1785428860,16,1,15,0,300
1785428861,16,1,15,0,300
1785428862,18,0,17,1,300
1785428863,19,0,19,0,300
1785428864,19,4,12,3,300
1785428865,19,1,17,1,300
1785428866,19,2,15,2,300
1785428867,20,1,16,3,300
1785428868,20,1,17,2,300
1785428869,20,4,10,6,300
1785428870,20,0,19,1,300
1785428872,20,0,20,0,300
1785428873,20,2,15,3,300
1785428874,20,1,18,1,300
1785428875,23,2,18,3,300
1785428876,23,3,17,3,300
1785428877,23,3,17,3,300
1785428878,23,0,23,0,300
1785428879,23,0,23,0,300
1785428880,23,2,19,2,300
1785428881,23,2,18,3,300
1785428882,23,0,23,0,300
1785428883,23,0,21,2,300
1785428885,23,0,23,0,300
1785428886,23,1,19,3,300
1785428887,23,2,17,4,300
1785428888,23,2,18,3,300
1785428889,23,1,21,1,300
1785428890,23,0,23,0,300
1785428891,23,1,21,1,300
1785428892,23,1,18,4,300
1785428893,23,1,20,2,300
1785428894,23,2,19,2,300
1785428895,23,2,19,2,300
1785428896,23,1,20,2,300
1785428898,23,2,17,4,300
1785428899,23,1,21,1,300
1785428900,24,0,24,0,300
1785428901,24,1,22,1,300
1785428902,24,2,18,4,300
1785428903,25,1,22,2,300
1785428904,25,1,20,4,300
1785428905,25,2,20,3,300
1785428906,25,3,19,3,300
1785428907,25,3,19,3,300
1785428908,25,1,23,1,300
1785428909,25,0,25,0,300
1785428911,25,5,15,5,300
1785428912,25,0,25,0,300
1785428913,25,3,17,5,300
1785428914,25,3,18,4,300
1785428915,25,0,24,1,300
1785428916,25,3,17,5,300
1785428917,25,1,18,6,300
1785428918,25,4,15,6,300
1785428919,25,3,18,4,300
1785428920,25,0,24,1,300
1785428921,25,0,25,0,300
1785428922,25,1,23,1,300
1785428924,25,0,25,0,300
1785428925,25,1,21,3,300
1785428926,25,3,18,4,300
1785428927,25,1,23,1,300
1785428928,27,5,17,5,300
1785428929,27,1,24,2,300
1785428930,27,1,24,2,300
1785428931,27,0,27,0,300
1785428932,27,2,22,3,300
1785428933,27,5,18,4,300
1785428934,27,0,27,0,300
1785428935,27,3,21,3,300
1785428937,27,0,27,0,300
1785428938,27,2,23,2,300
1785428939,27,3,19,5,300
1785428940,27,1,24,2,300
1785428941,27,2,23,2,300
1785428942,27,1,25,1,300
1785428943,27,0,27,0,300
1785428944,27,1,25,1,300
1785428945,27,1,24,2,300
1785428946,27,4,20,3,300
1785428947,27,4,19,4,300
1785428948,27,1,25,1,300
1785428950,27,1,26,0,300
1785428951,28,3,23,2,300
1785428952,28,0,28,0,300
1785428953,28,0,25,3,300
1785428954,28,1,25,2,300
1785428955,28,0,28,0,300
1785428956,28,3,22,3,300
1785428957,28,2,24,2,300
1785428958,28,1,25,2,300
1785428959,28,2,24,2,300
1785428960,28,3,20,5,300
1785428961,28,3,21,4,300
1785428963,28,0,27,1,300
1785428964,28,2,24,2,300
1785428965,28,1,25,2,300
1785428966,28,0,28,0,300
1785428967,28,1,24,3,300
1785428968,28,3,22,3,300
1785428969,28,1,26,1,300
1785428970,28,1,26,1,300
1785428971,28,2,24,2,300
1785428972,28,2,23,3,300
1785428973,28,0,28,0,300
1785428974,28,1,25,2,300
