Time,UID,TGID,TID,%usr,%system,%guest,%wait,%CPU,CPU,cswch/s,nvcswch/s,Command
20:53:46,1000,1506761,-,261.00,124.00,0.00,0.00,385.00,2,0.00,0.00,"java"
20:53:46,1000,-,1506761,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__java"
20:53:46,1000,-,1506764,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,"|__java"
20:53:46,1000,-,1506766,0.00,0.00,0.00,0.00,0.00,1,22.00,0.00,"|__GC Thread#0"
20:53:46,1000,-,1506767,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__G1 Main Marker"
20:53:46,1000,-,1506768,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,"|__G1 Conc#0"
20:53:46,1000,-,1506769,0.00,0.00,0.00,0.00,0.00,1,20.00,0.00,"|__G1 Refi..ontrol"
20:53:46,1000,-,1506770,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__G1 Refi..kers#0"
20:53:46,1000,-,1506771,0.00,0.00,0.00,1.00,0.00,0,28.00,0.00,"|__G1 Service"
20:53:46,1000,-,1506776,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__VM Peri..Thread"
20:53:46,1000,-,1506777,0.00,0.00,0.00,2.00,0.00,0,40.00,26.00,"|__VM Thread"
20:53:46,1000,-,1506778,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,"|__Referen..andler"
20:53:46,1000,-,1506779,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__Finalizer"
20:53:46,1000,-,1506780,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,"|__Signal ..atcher"
20:53:46,1000,-,1506781,0.00,0.00,0.00,0.00,0.00,4,2.00,0.00,"|__Service Thread"
20:53:46,1000,-,1506782,0.00,0.00,0.00,1.00,0.00,4,4.00,0.00,"|__Monitor..Thread"
20:53:46,1000,-,1506783,36.00,0.00,0.00,27.00,36.00,2,23.00,418.00,"|__C2 Comp..hread0"
20:53:46,1000,-,1506784,3.00,0.00,0.00,4.00,3.00,3,56.00,30.00,"|__C1 Comp..hread0"
20:53:46,1000,-,1506785,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Notific..Thread"
20:53:46,1000,-,1506786,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__Common-Cleaner"
20:53:46,1000,-,1506788,0.00,0.00,0.00,0.00,0.00,0,26.00,3.00,"|__GC Thread#1"
20:53:46,1000,-,1506789,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__Cleaner-0"
20:53:46,1000,-,1506790,0.00,0.00,0.00,0.00,0.00,1,20.00,3.00,"|__GC Thread#2"
20:53:46,1000,-,1506791,1.00,0.00,0.00,1.00,1.00,4,21.00,3.00,"|__GC Thread#3"
20:53:46,1000,-,1506813,0.00,0.00,0.00,0.00,0.00,4,0.00,0.00,"|__Postgre..leaner"
20:53:46,1000,-,1506814,0.00,0.00,0.00,0.00,0.00,1,8.00,1.00,"|__exeris-..keeper"
20:53:46,1000,-,1506817,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,"|__Virtual..locker"
20:53:46,1000,-,1506818,27.00,23.00,0.00,45.00,50.00,4,503.00,2347.00,"|__ForkJoi..rker-1"
20:53:46,1000,-,1506819,31.00,21.00,0.00,41.00,52.00,4,587.00,2326.00,"|__ForkJoi..rker-2"
20:53:46,1000,-,1506820,35.00,26.00,0.00,33.00,61.00,1,495.00,4215.00,"|__ForkJoi..rker-3"
20:53:46,1000,-,1506821,34.00,25.00,0.00,34.00,59.00,3,592.00,3478.00,"|__ForkJoi..rker-4"
20:53:46,1000,-,1506822,3.00,3.00,0.00,30.00,6.00,3,8343.00,3.00,"|__exeris/..mitter"
20:53:46,1000,-,1506823,1.00,2.00,0.00,11.00,3.00,3,1927.00,17.00,"|__carrier..ctor/0"
20:53:46,1000,-,1506824,1.00,1.00,0.00,31.00,2.00,2,1348.00,30.00,"|__carrier..ctor/1"
20:53:46,1000,-,1506825,2.00,1.00,0.00,9.00,3.00,1,1956.00,18.00,"|__carrier..ctor/2"
