epoch_s,total_backends,active,idle,idle_in_txn,max_connections
1785430361,16,1,15,0,300
1785430362,16,1,15,0,300
1785430363,16,0,16,0,300
1785430364,16,4,12,0,300
1785430365,16,3,13,0,300
1785430366,16,1,15,0,300
1785430368,16,0,16,0,300
1785430369,16,2,14,0,300
1785430370,16,1,15,0,300
1785430371,16,1,15,0,300
1785430372,16,0,16,0,300
1785430373,16,0,16,0,300
1785430374,16,2,14,0,300
1785430375,16,0,16,0,300
1785430376,16,3,13,0,300
1785430377,16,1,15,0,300
1785430378,16,0,16,0,300
1785430379,16,3,13,0,300
1785430381,16,1,15,0,300
1785430382,16,3,13,0,300
1785430383,16,3,13,0,300
1785430384,16,1,15,0,300
1785430385,16,7,9,0,300
1785430386,16,4,12,0,300
1785430387,16,2,14,0,300
1785430388,16,1,15,0,300
1785430389,16,2,14,0,300
1785430390,16,4,12,0,300
1785430391,16,1,15,0,300
1785430392,16,4,12,0,300
1785430394,16,3,13,0,300
1785430395,16,1,15,0,300
1785430396,16,0,16,0,300
1785430397,16,2,14,0,300
1785430398,16,3,13,0,300
1785430399,16,2,14,0,300
1785430400,16,8,8,0,300
1785430401,16,1,15,0,300
1785430402,16,0,16,0,300
1785430403,16,0,16,0,300
1785430404,16,1,15,0,300
1785430405,16,0,16,0,300
1785430407,16,0,16,0,300
1785430408,16,1,15,0,300
1785430409,16,3,13,0,300
1785430410,16,3,13,0,300
1785430411,16,0,16,0,300
1785430412,16,2,14,0,300
1785430413,16,5,11,0,300
1785430414,16,3,13,0,300
1785430415,16,0,16,0,300
1785430416,16,1,15,0,300
1785430417,16,0,16,0,300
1785430418,16,2,14,0,300
1785430420,16,3,13,0,300
1785430421,16,0,16,0,300
1785430422,16,0,16,0,300
1785430423,16,2,14,0,300
1785430424,16,1,15,0,300
1785430425,16,2,14,0,300
1785430426,16,1,15,0,300
1785430427,16,3,13,0,300
1785430428,16,2,14,0,300
1785430429,16,0,16,0,300
1785430430,16,1,15,0,300
1785430431,16,1,15,0,300
1785430433,16,0,16,0,300
1785430434,16,2,14,0,300
1785430435,16,2,14,0,300
1785430436,16,0,16,0,300
1785430437,16,3,13,0,300
1785430438,16,4,12,0,300
1785430439,16,2,14,0,300
1785430440,16,2,14,0,300
1785430441,16,2,14,0,300
1785430442,16,1,15,0,300
1785430443,16,2,14,0,300
1785430444,16,1,15,0,300
1785430446,16,4,12,0,300
1785430447,16,2,14,0,300
1785430448,16,1,15,0,300
1785430449,16,0,16,0,300
1785430450,16,2,14,0,300
1785430451,16,2,14,0,300
1785430452,16,2,14,0,300
1785430453,16,2,14,0,300
1785430454,16,0,16,0,300
1785430455,16,1,14,1,300
1785430456,16,3,13,0,300
1785430457,16,2,14,0,300
1785430459,16,0,16,0,300
1785430460,16,2,14,0,300
1785430461,16,1,15,0,300
1785430462,16,5,11,0,300
1785430463,16,3,13,0,300
1785430464,16,0,16,0,300
1785430465,16,0,16,0,300
1785430466,16,0,16,0,300
1785430467,16,3,13,0,300
1785430468,16,1,15,0,300
1785430469,16,1,15,0,300
1785430470,16,2,14,0,300
1785430472,16,4,12,0,300
1785430473,16,2,14,0,300
1785430474,16,2,14,0,300
1785430475,16,2,14,0,300
1785430476,16,1,15,0,300
1785430477,16,4,12,0,300
1785430478,16,4,12,0,300
1785430479,16,4,12,0,300
1785430480,16,2,14,0,300
1785430481,16,2,14,0,300
1785430482,16,2,14,0,300
1785430483,16,1,15,0,300
1785430485,16,0,16,0,300
1785430486,16,1,15,0,300
1785430487,16,1,15,0,300
