rep,target_app,contract_id,baseline_only,graph_track,run_dir,runner_status,k6_exit_code,baseline_exit_code,result_json_present,fault_mode,durability_tier,correctness_gate
1,exeris-community,exeris_community_h1_v2,false,neo4j,/home/bench/exeris-bench-saga/results/raw/e2e-shop-order-saga/20260730T161215Z-campaign-v2-r50/exeris-community-rep-1,clean,0,0,true,terminal,T2-fsync-node-durable-postgres,pass
2,exeris-community,exeris_community_h1_v2,false,neo4j,/home/bench/exeris-bench-saga/results/raw/e2e-shop-order-saga/20260730T161215Z-campaign-v2-r50/exeris-community-rep-2,clean,0,0,true,terminal,T2-fsync-node-durable-postgres,pass
3,exeris-community,exeris_community_h1_v2,false,neo4j,/home/bench/exeris-bench-saga/results/raw/e2e-shop-order-saga/20260730T161215Z-campaign-v2-r50/exeris-community-rep-3,clean,0,0,true,terminal,T2-fsync-node-durable-postgres,pass
1,quarkus-hibernate,quarkus_axon_neo4j_h1_v2,false,neo4j,/home/bench/exeris-bench-saga/results/raw/e2e-shop-order-saga/20260730T161215Z-campaign-v2-r50/quarkus-hibernate-rep-1,clean,0,0,true,terminal,T2-fsync-node-durable-postgres,pass
2,quarkus-hibernate,quarkus_axon_neo4j_h1_v2,false,neo4j,/home/bench/exeris-bench-saga/results/raw/e2e-shop-order-saga/20260730T161215Z-campaign-v2-r50/quarkus-hibernate-rep-2,clean,0,0,true,terminal,T2-fsync-node-durable-postgres,pass
3,quarkus-hibernate,quarkus_axon_neo4j_h1_v2,false,neo4j,/home/bench/exeris-bench-saga/results/raw/e2e-shop-order-saga/20260730T161215Z-campaign-v2-r50/quarkus-hibernate-rep-3,clean,0,0,true,terminal,T2-fsync-node-durable-postgres,pass
1,spring-hibernate,spring_boot_axon_neo4j_h1_v2,false,neo4j,/home/bench/exeris-bench-saga/results/raw/e2e-shop-order-saga/20260730T161215Z-campaign-v2-r50/spring-hibernate-rep-1,clean,0,0,true,terminal,T2-fsync-node-durable-postgres,pass
2,spring-hibernate,spring_boot_axon_neo4j_h1_v2,false,neo4j,/home/bench/exeris-bench-saga/results/raw/e2e-shop-order-saga/20260730T161215Z-campaign-v2-r50/spring-hibernate-rep-2,clean,0,0,true,terminal,T2-fsync-node-durable-postgres,pass
3,spring-hibernate,spring_boot_axon_neo4j_h1_v2,false,neo4j,/home/bench/exeris-bench-saga/results/raw/e2e-shop-order-saga/20260730T161215Z-campaign-v2-r50/spring-hibernate-rep-3,failed,1,1,false,terminal,unknown,absent
