epoch_s,total_backends,active,idle,idle_in_txn,max_connections
1785438916,32,0,32,0,300
1785438917,32,0,32,0,300
1785438918,32,0,32,0,300
1785438919,34,0,34,0,300
1785438920,35,0,35,0,300
1785438921,36,1,35,0,300
1785438922,38,3,35,0,300
1785438924,39,2,37,0,300
1785438925,39,4,35,0,300
1785438926,39,1,38,0,300
1785438927,40,3,37,0,300
1785438928,40,0,40,0,300
1785438929,40,0,40,0,300
1785438930,40,4,36,0,300
1785438931,40,1,39,0,300
1785438932,41,2,39,0,300
1785438933,41,0,41,0,300
1785438934,41,1,40,0,300
1785438936,41,1,40,0,300
1785438937,41,2,39,0,300
1785438938,41,3,38,0,300
1785438939,41,3,38,0,300
1785438940,41,1,40,0,300
1785438941,41,0,41,0,300
1785438942,41,5,36,0,300
1785438943,41,4,37,0,300
1785438944,41,1,40,0,300
1785438945,41,1,40,0,300
1785438946,41,0,41,0,300
1785438947,41,2,39,0,300
1785438949,41,4,37,0,300
1785438950,41,1,40,0,300
1785438951,41,1,40,0,300
1785438952,41,5,36,0,300
1785438953,41,1,40,0,300
1785438954,41,0,41,0,300
1785438955,41,4,37,0,300
1785438956,41,2,39,0,300
1785438957,41,2,39,0,300
1785438958,41,2,39,0,300
1785438959,41,2,39,0,300
1785438960,41,3,38,0,300
1785438962,41,3,38,0,300
1785438963,41,1,40,0,300
1785438964,41,1,40,0,300
1785438965,41,0,40,1,300
1785438966,41,1,40,0,300
1785438967,41,2,39,0,300
1785438968,41,2,39,0,300
1785438969,41,3,38,0,300
1785438970,41,1,40,0,300
1785438971,41,5,36,0,300
1785438972,41,1,40,0,300
1785438974,41,1,39,1,300
1785438975,41,1,40,0,300
1785438976,41,0,41,0,300
1785438977,41,3,38,0,300
1785438978,41,2,39,0,300
1785438979,41,3,38,0,300
1785438980,41,1,40,0,300
1785438981,41,1,40,0,300
1785438982,41,3,38,0,300
1785438983,42,2,40,0,300
1785438984,42,1,41,0,300
1785438985,42,3,39,0,300
1785438987,42,2,40,0,300
1785438988,42,1,41,0,300
1785438989,42,2,40,0,300
1785438990,42,3,39,0,300
1785438991,42,1,41,0,300
1785438992,42,2,40,0,300
1785438993,42,1,41,0,300
1785438994,42,1,41,0,300
1785438995,42,1,41,0,300
1785438996,42,0,42,0,300
1785438997,42,1,41,0,300
1785438998,42,3,39,0,300
1785439000,42,1,41,0,300
1785439001,42,0,42,0,300
1785439002,42,3,39,0,300
1785439003,42,2,40,0,300
1785439004,42,1,41,0,300
1785439005,42,0,42,0,300
1785439006,42,2,40,0,300
1785439007,42,1,41,0,300
1785439008,42,4,37,1,300
1785439009,42,1,41,0,300
1785439010,42,1,41,0,300
1785439012,42,2,40,0,300
1785439013,42,1,41,0,300
1785439014,42,3,39,0,300
1785439015,42,0,42,0,300
1785439016,42,2,40,0,300
1785439017,42,1,41,0,300
1785439018,42,2,40,0,300
1785439019,42,1,41,0,300
1785439020,42,0,42,0,300
1785439021,42,4,38,0,300
1785439022,42,3,39,0,300
1785439023,42,0,42,0,300
1785439025,42,0,42,0,300
1785439026,42,0,42,0,300
1785439027,42,3,39,0,300
1785439028,42,2,40,0,300
1785439029,42,5,37,0,300
1785439030,42,2,40,0,300
1785439031,42,0,42,0,300
1785439032,42,0,42,0,300
1785439033,42,5,37,0,300
1785439034,42,0,42,0,300
1785439035,42,3,39,0,300
1785439036,42,1,41,0,300
1785439038,42,3,39,0,300
1785439039,42,1,41,0,300
1785439040,42,0,42,0,300
1785439041,42,4,38,0,300
1785439042,42,0,42,0,300
1785439043,42,2,40,0,300
1785439044,42,1,41,0,300
1785439045,42,2,40,0,300
1785439046,42,1,41,0,300
1785439047,42,3,39,0,300
1785439048,42,1,41,0,300
1785439049,42,4,38,0,300
1785439051,42,1,41,0,300
1785439052,42,4,38,0,300
1785439053,42,1,41,0,300
1785439054,42,0,42,0,300
1785439055,42,1,41,0,300
1785439056,42,3,39,0,300
1785439057,42,3,39,0,300
1785439058,42,0,42,0,300
1785439059,42,0,42,0,300
1785439060,42,4,38,0,300
1785439061,42,3,39,0,300
1785439062,42,0,42,0,300
1785439064,42,5,37,0,300
1785439065,42,5,37,0,300
1785439066,42,0,42,0,300
1785439067,42,4,38,0,300
1785439068,42,2,40,0,300
1785439069,42,0,42,0,300
1785439070,42,1,41,0,300
1785439071,42,2,40,0,300
1785439072,42,1,41,0,300
1785439073,42,4,38,0,300
1785439074,42,2,40,0,300
1785439075,42,1,41,0,300
1785439077,42,2,40,0,300
1785439078,42,1,41,0,300
1785439079,42,3,39,0,300
1785439080,42,3,39,0,300
1785439081,42,1,41,0,300
1785439082,42,1,41,0,300
1785439083,42,1,41,0,300
1785439084,42,2,40,0,300
1785439085,42,4,38,0,300
1785439086,42,4,38,0,300
1785439087,42,0,42,0,300
1785439088,42,2,40,0,300
1785439090,42,3,39,0,300
1785439091,42,2,40,0,300
1785439092,42,4,38,0,300
1785439093,42,1,41,0,300
1785439094,42,4,38,0,300
1785439095,42,2,40,0,300
1785439096,42,4,38,0,300
1785439097,42,0,42,0,300
1785439098,42,1,41,0,300
1785439099,42,1,41,0,300
1785439100,42,2,40,0,300
1785439101,42,2,40,0,300
1785439103,42,1,41,0,300
1785439104,42,0,42,0,300
1785439105,42,3,39,0,300
1785439106,42,1,41,0,300
1785439107,42,1,41,0,300
1785439108,42,4,38,0,300
1785439109,42,3,39,0,300
1785439110,42,3,39,0,300
1785439111,42,4,38,0,300
1785439112,42,1,41,0,300
1785439113,42,3,39,0,300
1785439114,42,1,41,0,300
1785439116,42,1,41,0,300
1785439117,42,3,39,0,300
1785439118,42,3,39,0,300
1785439119,42,4,38,0,300
1785439120,42,3,39,0,300
1785439121,42,4,38,0,300
1785439122,42,0,42,0,300
1785439123,42,0,42,0,300
1785439124,42,3,39,0,300
1785439125,42,0,42,0,300
1785439126,42,3,39,0,300
1785439128,42,2,40,0,300
1785439129,42,0,42,0,300
1785439130,42,4,38,0,300
1785439131,42,2,40,0,300
1785439132,42,1,41,0,300
1785439133,42,1,41,0,300
1785439134,42,0,42,0,300
1785439135,42,1,41,0,300
1785439136,42,1,41,0,300
1785439137,42,3,39,0,300
1785439138,42,4,38,0,300
1785439139,42,1,41,0,300
1785439141,42,0,42,0,300
1785439142,42,3,39,0,300
1785439143,42,3,39,0,300
1785439144,42,3,39,0,300
1785439145,42,1,41,0,300
1785439146,42,5,37,0,300
1785439147,42,2,40,0,300
1785439148,42,1,41,0,300
1785439149,42,0,42,0,300
1785439150,42,1,41,0,300
1785439151,42,2,40,0,300
1785439152,42,3,39,0,300
1785439154,42,3,39,0,300
1785439155,42,0,42,0,300
1785439156,42,1,41,0,300
1785439157,42,2,40,0,300
1785439158,42,2,40,0,300
1785439159,42,3,39,0,300
1785439160,42,1,41,0,300
1785439161,42,2,40,0,300
1785439162,42,3,39,0,300
1785439163,42,1,41,0,300
1785439164,42,4,38,0,300
1785439165,42,0,42,0,300
1785439167,42,3,39,0,300
1785439168,42,0,42,0,300
1785439169,42,2,40,0,300
1785439170,42,2,40,0,300
1785439171,42,3,39,0,300
1785439172,42,2,40,0,300
1785439173,42,1,41,0,300
1785439174,42,1,41,0,300
1785439175,42,0,42,0,300
1785439176,42,3,39,0,300
1785439177,42,1,41,0,300
1785439178,42,1,41,0,300
1785439180,42,1,41,0,300
1785439181,42,1,41,0,300
1785439182,42,0,42,0,300
1785439183,42,3,39,0,300
1785439184,42,5,37,0,300
1785439185,42,2,39,1,300
1785439186,42,4,38,0,300
1785439187,42,1,41,0,300
1785439188,42,2,40,0,300
1785439189,42,0,42,0,300
1785439190,42,2,40,0,300
1785439191,42,0,42,0,300
1785439193,42,0,42,0,300
1785439194,42,1,41,0,300
1785439195,42,1,41,0,300
1785439196,42,2,40,0,300
1785439197,42,0,42,0,300
1785439198,42,1,41,0,300
1785439199,42,1,41,0,300
1785439200,42,2,40,0,300
1785439201,42,1,41,0,300
1785439202,42,3,39,0,300
1785439203,42,0,42,0,300
1785439204,42,3,39,0,300
1785439206,42,3,39,0,300
1785439207,42,3,39,0,300
1785439208,42,1,41,0,300
1785439209,42,1,41,0,300
1785439210,42,1,41,0,300
1785439211,42,4,38,0,300
1785439212,42,6,36,0,300
1785439213,42,3,39,0,300
1785439214,42,1,41,0,300
1785439215,42,2,40,0,300
1785439216,42,1,41,0,300
1785439218,42,2,40,0,300
1785439219,42,1,41,0,300
1785439220,42,1,41,0,300
1785439221,42,2,40,0,300
