"memory_max_mb","vcpu","axis","arm","repeat","outcome","memory_failure_kind","phase_reached","xmx_mb","heap_fraction_of_budget","xmx_source","exeris_subsystems","exeris_telemetry_subsystem_enabled","rps","total_requests","error_rate_pct","cpu_time_seconds","cpu_per_req_ms","peak_rss_kb","cgroup_memory_peak_kb","latency_p99_us","latency_label","throttled_periods","nr_periods","cpu_throttle_ratio","oom_kill_delta","hs_err_present","pg_rss_kb","jit_representativeness","run_dir"
128,4,"memory","exeris-community",1,"unknown",,,32,0.2500,"fraction:0.25","http,persistence",false,56301.75,16892611,0.000000,922.620000,0.05461677889818217,140244,,48700.000000,"wrk-closed-loop-coordinated-omission",,,,,,45681,,"/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260722T015708Z-memory-cpu-matrix/point-128m-4vcpu/exeris-community/repeat-1"
128,4,"memory","quarkus-tuned",1,"unknown",,,96,0.7500,"fraction:0.75",,,,,,,,,,,"wrk-closed-loop-coordinated-omission",,,,,,45896,,"/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260722T015708Z-memory-cpu-matrix/point-128m-4vcpu/quarkus-tuned/repeat-1"
256,4,"memory","exeris-community",1,"ok","none","measure_complete",64,0.2500,"fraction:0.25","http,persistence",false,56436.41,16934021,0.000000,918.470000,0.054238151706555694,147996,142348,58490.000000,"wrk-closed-loop-coordinated-omission",4196,4268,0.9831302717900656,0,,45937,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260722T015708Z-memory-cpu-matrix/point-256m-4vcpu/exeris-community/repeat-1"
256,4,"memory","quarkus-tuned",1,"ok","none","measure_complete",192,0.7500,"fraction:0.75",,,47216.78,14168028,0.000000,979.750000,0.06915217841184391,246200,246252,18970.000000,"wrk-closed-loop-coordinated-omission",4178,4271,0.9782252399906345,0,,46408,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260722T015708Z-memory-cpu-matrix/point-256m-4vcpu/quarkus-tuned/repeat-1"
512,4,"memory","exeris-community",1,"ok","none","measure_complete",128,0.2500,"fraction:0.25","http,persistence",false,55574.52,16675104,0.000000,920.290000,0.0551894608873204,173844,169304,64770.000000,"wrk-closed-loop-coordinated-omission",4199,4270,0.9833723653395785,0,,46121,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260722T015708Z-memory-cpu-matrix/point-512m-4vcpu/exeris-community/repeat-1"
512,4,"memory","quarkus-tuned",1,"ok","none","measure_complete",384,0.7500,"fraction:0.75",,,47521.42,14259441,0.000000,979.140000,0.06866608585848491,313128,307616,19260.000000,"wrk-closed-loop-coordinated-omission",4195,4273,0.9817458460098292,0,,46244,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260722T015708Z-memory-cpu-matrix/point-512m-4vcpu/quarkus-tuned/repeat-1"
1024,4,"shared","exeris-community",1,"ok","none","measure_complete",256,0.2500,"fraction:0.25","http,persistence",false,56315.93,16897617,0.000000,919.650000,0.054424833986946204,236924,232136,78190.000000,"wrk-closed-loop-coordinated-omission",4196,4269,0.9828999765753104,0,,47053,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260722T015708Z-memory-cpu-matrix/point-1024m-4vcpu/exeris-community/repeat-1"
1024,4,"shared","quarkus-tuned",1,"ok","none","measure_complete",768,0.7500,"fraction:0.75",,,47399.35,14221937,0.000000,979.760000,0.0688907565825949,482052,471068,19620.000000,"wrk-closed-loop-coordinated-omission",4194,4269,0.9824314827828531,0,,46428,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260722T015708Z-memory-cpu-matrix/point-1024m-4vcpu/quarkus-tuned/repeat-1"
1024,4,"shared","quarkus-hibernate",1,"ok","none","measure_complete",768,0.7500,"fraction:0.75",,,42108.59,12634557,0.000000,1002.680000,0.07936012319228922,513548,501604,17720.000000,"wrk-closed-loop-coordinated-omission",4189,4279,0.9789670483757887,0,,46817,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260722T015708Z-memory-cpu-matrix/point-1024m-4vcpu/quarkus-hibernate/repeat-1"
2048,4,"memory","exeris-community",1,"ok","none","measure_complete",512,0.2500,"fraction:0.25","http,persistence",false,56034.43,16811798,0.000000,919.550000,0.05469670763353211,334768,330020,75240.000000,"wrk-closed-loop-coordinated-omission",4198,4270,0.9831381733021077,0,,46643,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260722T015708Z-memory-cpu-matrix/point-2048m-4vcpu/exeris-community/repeat-1"
