epoch_ms,component,cpu_pct,mem_mb
1787387554000,exeris-e2e-saga-postgres,0.02,231.90
1787387554000,exeris-e2e-saga-payment-gateway,7.87,15.12
1787387554000,target-jvm,3.67,
1787387559000,exeris-e2e-saga-postgres,2.73,234.80
1787387559000,exeris-e2e-saga-payment-gateway,7.87,15.30
1787387559000,target-jvm,3.33,
1787387564000,exeris-e2e-saga-postgres,4.45,231.80
1787387564000,exeris-e2e-saga-payment-gateway,7.89,15.34
1787387564000,target-jvm,3.33,
1787387569000,exeris-e2e-saga-postgres,0.00,231.70
1787387569000,exeris-e2e-saga-payment-gateway,7.80,15.38
1787387569000,target-jvm,3.67,
1787387574000,exeris-e2e-saga-postgres,4.44,231.70
1787387574000,exeris-e2e-saga-payment-gateway,7.83,15.21
1787387574000,target-jvm,3.00,
1787387579000,exeris-e2e-saga-postgres,0.01,231.70
1787387579000,exeris-e2e-saga-payment-gateway,7.84,15.12
1787387579000,target-jvm,3.67,
1787387584000,exeris-e2e-saga-postgres,8.67,231.70
1787387584000,exeris-e2e-saga-payment-gateway,0.00,14.55
1787387584000,target-jvm,3.33,
1787387589000,exeris-e2e-saga-postgres,6.84,234.80
1787387589000,exeris-e2e-saga-payment-gateway,0.01,14.54
1787387589000,target-jvm,3.67,
1787387594000,exeris-e2e-saga-postgres,8.81,231.70
1787387594000,exeris-e2e-saga-payment-gateway,0.00,14.55
1787387594000,target-jvm,3.67,
1787387599000,exeris-e2e-saga-postgres,4.43,231.60
1787387599000,exeris-e2e-saga-payment-gateway,7.89,14.87
1787387599000,target-jvm,3.33,
1787387605000,exeris-e2e-saga-postgres,0.03,231.60
1787387605000,exeris-e2e-saga-payment-gateway,7.84,14.63
1787387605000,target-jvm,3.67,
1787387610000,exeris-e2e-saga-postgres,4.43,231.70
1787387610000,exeris-e2e-saga-payment-gateway,7.27,25.00
1787387610000,target-jvm,3.67,
1787387615000,exeris-e2e-saga-postgres,0.01,231.50
1787387615000,exeris-e2e-saga-payment-gateway,0.01,14.54
1787387615000,target-jvm,3.33,
1787387620000,exeris-e2e-saga-postgres,0.63,233.20
1787387620000,exeris-e2e-saga-payment-gateway,0.01,14.54
1787387620000,target-jvm,3.67,
1787387625000,exeris-e2e-saga-postgres,4.39,231.50
1787387625000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387625000,target-jvm,3.67,
1787387630000,exeris-e2e-saga-postgres,0.02,231.70
1787387630000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387630000,target-jvm,4.67,
1787387635000,exeris-e2e-saga-postgres,4.37,231.50
1787387635000,exeris-e2e-saga-payment-gateway,0.01,14.54
1787387635000,target-jvm,3.33,
1787387640000,exeris-e2e-saga-postgres,0.01,231.50
1787387640000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387640000,target-jvm,3.33,
1787387645000,exeris-e2e-saga-postgres,4.34,231.50
1787387645000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387645000,target-jvm,3.33,
1787387650000,exeris-e2e-saga-postgres,0.02,231.50
1787387650000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387650000,target-jvm,3.67,
1787387655000,exeris-e2e-saga-postgres,0.56,232.10
1787387655000,exeris-e2e-saga-payment-gateway,0.01,14.55
