"memory_max_mb","vcpu","axis","arm","repeat","outcome","memory_failure_kind","phase_reached","xmx_mb","heap_fraction_of_budget","xmx_source","exeris_subsystems","exeris_telemetry_subsystem_enabled","rps","total_requests","error_rate_pct","cpu_time_seconds","cpu_per_req_ms","peak_rss_kb","cgroup_memory_peak_kb","latency_p99_us","latency_label","throttled_periods","nr_periods","cpu_throttle_ratio","oom_kill_delta","hs_err_present","pg_rss_kb","jit_representativeness","run_dir"
128,4,"memory","quarkus-tuned",3,"unknown",,,96,0.7500,"fraction:0.75",,,,,,,,,,,"wrk-closed-loop-coordinated-omission",,,,,,68567,,"/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-128m-4vcpu/quarkus-tuned/repeat-3"
256,4,"memory","exeris-community",3,"ok","none","measure_complete",64,0.2500,"fraction:0.25","http,persistence",false,13459.02,4038293,0.000000,848.140000,0.21002438406524737,195220,184896,213580.000000,"wrk-closed-loop-coordinated-omission",27,4269,0.006324666198172874,0,,68035,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-256m-4vcpu/exeris-community/repeat-3"
256,4,"memory","quarkus-tuned",3,"unknown",,,192,0.7500,"fraction:0.75",,,,,,,,,,,"wrk-closed-loop-coordinated-omission",,,,,,68250,,"/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-256m-4vcpu/quarkus-tuned/repeat-3"
512,4,"memory","exeris-community",3,"ok","none","measure_complete",128,0.2500,"fraction:0.25","http,persistence",false,13619.00,4086404,0.000000,861.060000,0.21071338027272876,233904,228728,207110.000000,"wrk-closed-loop-coordinated-omission",38,4268,0.008903467666354265,0,,68239,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-512m-4vcpu/exeris-community/repeat-3"
512,4,"memory","quarkus-tuned",3,"ok","none","measure_complete",384,0.7500,"fraction:0.75",,,13390.65,4018041,0.000000,958.020000,0.2384296227937943,350128,346556,10980.000000,"wrk-closed-loop-coordinated-omission",53,4269,0.012415085500117124,0,,68352,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-512m-4vcpu/quarkus-tuned/repeat-3"
1024,4,"shared","exeris-community",3,"ok","none","measure_complete",256,0.2500,"fraction:0.25","http,persistence",false,13939.13,4182346,0.000000,867.230000,0.2073549151600561,250336,245916,192970.000000,"wrk-closed-loop-coordinated-omission",35,4272,0.008192883895131085,0,,68434,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-1024m-4vcpu/exeris-community/repeat-3"
1024,4,"shared","quarkus-tuned",3,"ok","none","measure_complete",768,0.7500,"fraction:0.75",,,13401.38,4020986,0.000000,947.570000,0.23565613011336026,466340,462376,10980.000000,"wrk-closed-loop-coordinated-omission",45,4272,0.010533707865168539,0,,68803,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-1024m-4vcpu/quarkus-tuned/repeat-3"
1024,4,"shared","quarkus-hibernate",3,"ok","none","measure_complete",768,0.7500,"fraction:0.75",,,11339.99,3402754,0.000000,1090.060000,0.32034640176750945,567524,562940,13470.000000,"wrk-closed-loop-coordinated-omission",429,4280,0.10023364485981308,0,,68864,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-1024m-4vcpu/quarkus-hibernate/repeat-3"
2048,4,"memory","exeris-community",3,"ok","none","measure_complete",512,0.2500,"fraction:0.25","http,persistence",false,13804.37,4141998,0.000000,856.940000,0.20689049101424,319864,314628,196660.000000,"wrk-closed-loop-coordinated-omission",29,4272,0.006788389513108614,0,,68731,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-2048m-4vcpu/exeris-community/repeat-3"
2048,4,"memory","quarkus-tuned",3,"ok","none","measure_complete",1536,0.7500,"fraction:0.75",,,13252.80,3976478,0.000000,937.250000,0.23569852517730513,741184,737672,11210.000000,"wrk-closed-loop-coordinated-omission",53,4271,0.01240927183329431,0,,68844,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-2048m-4vcpu/quarkus-tuned/repeat-3"
1024,2,"cpu","exeris-community",3,"ok","none","measure_complete",256,0.2500,"fraction:0.25","http,persistence",false,11164.01,3349968,0.002478,532.430000,0.15893584655137002,334616,337640,1530000.000000,"wrk-closed-loop-coordinated-omission",4205,4271,0.9845469445094825,0,,68936,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-1024m-2vcpu/exeris-community/repeat-3"
1024,2,"cpu","quarkus-tuned",3,"ok","none","measure_complete",768,0.7500,"fraction:0.75",,,9761.17,2929251,0.000000,536.260000,0.18307068940148863,439224,435076,40890.000000,"wrk-closed-loop-coordinated-omission",4205,4271,0.9845469445094825,0,,69038,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-1024m-2vcpu/quarkus-tuned/repeat-3"
1024,8,"cpu","exeris-community",3,"ok","none","measure_complete",256,0.2500,"fraction:0.25","http,persistence",false,13308.28,3993158,0.000000,957.780000,0.23985527244351462,275580,271380,68050.000000,"wrk-closed-loop-coordinated-omission",1,4269,0.00023424689622862497,0,,70666,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-1024m-8vcpu/exeris-community/repeat-3"
1024,8,"cpu","quarkus-tuned",3,"ok","none","measure_complete",768,0.7500,"fraction:0.75",,,12868.32,3861092,0.000000,1124.390000,0.2912103622498506,475564,472428,11260.000000,"wrk-closed-loop-coordinated-omission",2,4269,0.00046849379245724994,0,,69243,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-1024m-8vcpu/quarkus-tuned/repeat-3"
